ID	Gene Name	Species	BIOCARTA	COG_ONTOLOGY	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	PIR_SUPERFAMILY	SMART	UP_KW_BIOLOGICAL_PROCESS	UP_KW_CELLULAR_COMPONENT	UP_KW_DISEASE	UP_KW_DOMAIN	UP_KW_LIGAND	UP_KW_MOLECULAR_FUNCTION	UP_KW_PTM	UP_SEQ_FEATURE
P20107	Zn(2+) transporter ZRC1(ZRC1)	Saccharomyces cerevisiae S288C			GO:0006811~monoatomic ion transport,GO:0006812~monoatomic cation transport,GO:0006829~zinc ion transport,GO:0006882~intracellular zinc ion homeostasis,GO:0030003~intracellular monoatomic cation homeostasis,GO:0046686~response to cadmium ion,GO:0055085~transmembrane transport,GO:0071577~zinc ion transmembrane transport,GO:0098771~inorganic ion homeostasis,	GO:0000324~fungal-type vacuole,GO:0000329~fungal-type vacuole membrane,GO:0005773~vacuole,GO:0005774~vacuolar membrane,GO:0016020~membrane,GO:0045121~membrane raft,	GO:0005385~zinc ion transmembrane transporter activity,GO:0008270~zinc ion binding,GO:0008324~monoatomic cation transmembrane transporter activity,	IPR002524:Cation_efflux,IPR027469:Cation_efflux_TMD_sf,IPR036837:Cation_efflux_CTD_sf,					KW-0105~Cadmium resistance,KW-0406~Ion transport,KW-0813~Transport,KW-0864~Zinc transport,	KW-0472~Membrane,KW-0926~Vacuole,		KW-0677~Repeat,KW-0812~Transmembrane,KW-1133~Transmembrane helix,	KW-0104~Cadmium,KW-0862~Zinc,		KW-0597~Phosphoprotein,KW-0832~Ubl conjugation,KW-1017~Isopeptide bond,	COMPBIAS:Basic and acidic residues,COMPBIAS:Polar residues,CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in ubiquitin),MOTIF:Histidine repeat 1,MOTIF:Histidine repeat 2,MOTIF:Histidine repeat 3,MUTAGEN:N->I: Changed the substrate specificity of the transporter from zinc to iron.,REGION:Disordered,TOPO_DOM:Cytoplasmic,TOPO_DOM:Vacuolar,TRANSMEM:Helical,
Q5ZMP6	adaptor related protein complex 2 mu 1 subunit(AP2M1)	Gallus gallus			GO:0006886~intracellular protein transport,GO:0006897~endocytosis,GO:0072583~clathrin-dependent endocytosis,	GO:0005886~plasma membrane,GO:0005905~clathrin-coated pit,GO:0030122~AP-2 adaptor complex,GO:0030131~clathrin adaptor complex,GO:0031410~cytoplasmic vesicle,	GO:0008289~lipid binding,GO:0035615~clathrin adaptor activity,	IPR001392:Clathrin_mu,IPR011012:Longin-like_dom_sf,IPR018240:Clathrin_mu_CS,IPR022775:AP_mu_sigma_su,IPR028565:MHD,IPR036168:AP2_Mu_C_sf,IPR043512:Mu2_C,IPR043532:AP2_Mu_N,IPR050431:Adaptor_comp_med_subunit,	gga04144:Endocytosis,		PIRSF005992:Clathrin_mu,		KW-0254~Endocytosis,KW-0653~Protein transport,KW-0813~Transport,	KW-0168~Coated pit,KW-0472~Membrane,KW-1003~Cell membrane,			KW-0446~Lipid-binding,			DOMAIN:MHD,
Q9NYQ7	cadherin EGF LAG seven-pass G-type receptor 3(CELSR3)	Homo sapiens			GO:0007156~homophilic cell adhesion via plasma membrane adhesion molecules,GO:0007186~G protein-coupled receptor signaling pathway,GO:0036514~dopaminergic neuron axon guidance,GO:0036515~serotonergic neuron axon guidance,GO:0060071~Wnt signaling pathway, planar cell polarity pathway,GO:0098609~cell-cell adhesion,	GO:0005886~plasma membrane,GO:0016020~membrane,	GO:0004930~G protein-coupled receptor activity,GO:0005509~calcium ion binding,GO:0005515~protein binding,	IPR000203:GPS,IPR000742:EGF-like_dom,IPR000832:GPCR_2_secretin-like,IPR001791:Laminin_G,IPR001879:GPCR_2_extracellular_dom,IPR001881:EGF-like_Ca-bd_dom,IPR002049:LE_dom,IPR002126:Cadherin-like_dom,IPR013320:ConA-like_dom_sf,IPR015919:Cadherin-like_sf,IPR017981:GPCR_2-like_7TM,IPR017983:GPCR_2_secretin-like_CS,IPR020894:Cadherin_CS,IPR032471:GAIN_dom_N,IPR036445:GPCR_2_extracell_dom_sf,IPR046338:GAIN_dom_sf,				SM00008:HormR,SM00112:CA,SM00179:EGF_CA,SM00180:EGF_Lam,SM00181:EGF,SM00282:LamG,SM00303:GPS,		KW-0472~Membrane,KW-1003~Cell membrane,		KW-0245~EGF-like domain,KW-0424~Laminin EGF-like domain,KW-0677~Repeat,KW-0732~Signal,KW-0812~Transmembrane,KW-1133~Transmembrane helix,	KW-0106~Calcium,	KW-0217~Developmental protein,KW-0297~G-protein coupled receptor,KW-0675~Receptor,KW-0807~Transducer,KW-9996~Developmental protein,	KW-0325~Glycoprotein,KW-0379~Hydroxylation,KW-0597~Phosphoprotein,KW-1015~Disulfide bond,	CARBOHYD:N-linked (GlcNAc...) asparagine,COMPBIAS:Basic and acidic residues,COMPBIAS:Polar residues,COMPBIAS:Pro residues,DOMAIN:Cadherin 1,DOMAIN:Cadherin 2,DOMAIN:Cadherin 3,DOMAIN:Cadherin 4,DOMAIN:Cadherin 5,DOMAIN:Cadherin 6,DOMAIN:Cadherin 7,DOMAIN:Cadherin 8,DOMAIN:Cadherin 9,DOMAIN:EGF-like 1; calcium-binding,DOMAIN:EGF-like 2; calcium-binding,DOMAIN:EGF-like 3; calcium-binding,DOMAIN:EGF-like 4; calcium-binding,DOMAIN:EGF-like 5; calcium-binding,DOMAIN:EGF-like 6; calcium-binding,DOMAIN:EGF-like 7; calcium-binding,DOMAIN:EGF-like 8; calcium-binding,DOMAIN:GAIN-B,DOMAIN:Laminin EGF-like,DOMAIN:Laminin G-like 1,DOMAIN:Laminin G-like 2,REGION:Disordered,REGION:GPS,TOPO_DOM:Cytoplasmic,TOPO_DOM:Extracellular,TRANSMEM:Helical; Name=1,TRANSMEM:Helical; Name=2,TRANSMEM:Helical; Name=3,TRANSMEM:Helical; Name=4,TRANSMEM:Helical; Name=5,TRANSMEM:Helical; Name=6,TRANSMEM:Helical; Name=7,
Q4R4R6	cell division cycle 42(CDC42)	Macaca fascicularis			GO:0006897~endocytosis,GO:0006911~phagocytosis, engulfment,GO:0007015~actin filament organization,GO:0007163~establishment or maintenance of cell polarity,GO:0007399~nervous system development,GO:0009653~anatomical structure morphogenesis,GO:0030154~cell differentiation,GO:0032467~positive regulation of cytokinesis,GO:0032488~Cdc42 protein signal transduction,GO:0048549~positive regulation of pinocytosis,GO:0051130~positive regulation of cellular component organization,GO:0051301~cell division,GO:0051489~regulation of filopodium assembly,GO:0051988~regulation of attachment of spindle microtubules to kinetochore,GO:0099563~modification of synaptic structure,GO:1900026~positive regulation of substrate adhesion-dependent cell spreading,	GO:0005737~cytoplasm,GO:0005813~centrosome,GO:0005886~plasma membrane,GO:0016020~membrane,GO:0030496~midbody,GO:0031258~lamellipodium membrane,GO:0043197~dendritic spine,GO:0043227~membrane-bounded organelle,GO:0051233~spindle midzone,GO:0072686~mitotic spindle,	GO:0003924~GTPase activity,GO:0003925~G protein activity,GO:0005525~GTP binding,GO:0019901~protein kinase binding,	IPR001806:Small_GTPase,IPR003578:Small_GTPase_Rho,IPR005225:Small_GTP-bd_dom,IPR027417:P-loop_NTPase,IPR037874:Cdc42,	mcf04010:MAPK signaling pathway,mcf04014:Ras signaling pathway,mcf04015:Rap1 signaling pathway,mcf04062:Chemokine signaling pathway,mcf04144:Endocytosis,mcf04360:Axon guidance,mcf04370:VEGF signaling pathway,mcf04510:Focal adhesion,mcf04520:Adherens junction,mcf04530:Tight junction,mcf04660:T cell receptor signaling pathway,mcf04666:Fc gamma R-mediated phagocytosis,mcf04670:Leukocyte transendothelial migration,mcf04722:Neurotrophin signaling pathway,mcf04810:Regulation of actin cytoskeleton,mcf04912:GnRH signaling pathway,mcf04932:Non-alcoholic fatty liver disease,mcf04933:AGE-RAGE signaling pathway in diabetic complications,mcf05100:Bacterial invasion of epithelial cells,mcf05132:Salmonella infection,mcf05135:Yersinia infection,mcf05165:Human papillomavirus infection,mcf05200:Pathways in cancer,mcf05203:Viral carcinogenesis,mcf05205:Proteoglycans in cancer,mcf05211:Renal cell carcinoma,mcf05212:Pancreatic cancer,mcf05417:Lipid and atherosclerosis,			SM00173:RAS,SM00174:RHO,SM00175:RAB,	KW-0131~Cell cycle,KW-0132~Cell division,KW-0221~Differentiation,KW-0524~Neurogenesis,	KW-0206~Cytoskeleton,KW-0472~Membrane,KW-0963~Cytoplasm,KW-0966~Cell projection,KW-1003~Cell membrane,			KW-0342~GTP-binding,KW-0547~Nucleotide-binding,	KW-0378~Hydrolase,	KW-0449~Lipoprotein,KW-0488~Methylation,KW-0597~Phosphoprotein,KW-0636~Prenylation,	LIPID:S-geranylgeranyl cysteine,MOTIF:Effector region,PROPEP:Removed in mature form,
Q922M5	cell division cycle associated 7 like(Cdca7l)	Mus musculus			GO:0006355~regulation of DNA-templated transcription,GO:0008284~positive regulation of cell population proliferation,	GO:0001650~fibrillar center,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005730~nucleolus,GO:0005829~cytosol,		IPR018866:Znf-4CXXC_R1,IPR040221:CDCA7/CDA7L,					KW-0804~Transcription,KW-0805~Transcription regulation,	KW-0539~Nucleus,KW-0963~Cytoplasm,				KW-0678~Repressor,	KW-0597~Phosphoprotein,KW-0832~Ubl conjugation,KW-1017~Isopeptide bond,	COMPBIAS:Basic and acidic residues,CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO2),MOTIF:Integrase domain-binding motif 1 (IBM1),MOTIF:Integrase domain-binding motif 2 (IBM2),REGION:Disordered,REGION:MYC-binding,REGION:PSIP1-binding,
Q6EE31	chaperonin containing TCP1 subunit 8(CCT8)	Gallus gallus			GO:0006457~protein folding,	GO:0005813~centrosome,GO:0005832~chaperonin-containing T-complex,GO:0005856~cytoskeleton,GO:0042995~cell projection,	GO:0005524~ATP binding,GO:0016887~ATP hydrolysis activity,GO:0051082~unfolded protein binding,GO:0140662~ATP-dependent protein folding chaperone,	IPR002194:Chaperonin_TCP-1_CS,IPR002423:Cpn60/GroEL/TCP-1,IPR012721:Chap_CCT_theta,IPR017998:Chaperone_TCP-1,IPR027409:GroEL-like_apical_dom_sf,IPR027410:TCP-1-like_intermed_sf,IPR027413:GROEL-like_equatorial_sf,						KW-0206~Cytoskeleton,KW-0963~Cytoplasm,KW-0966~Cell projection,			KW-0067~ATP-binding,KW-0547~Nucleotide-binding,	KW-0143~Chaperone,	KW-0007~Acetylation,KW-0597~Phosphoprotein,	REGION:Disordered,
Q8WP19	cryptochrome circadian regulator 1(CRY1)	Macaca fascicularis			GO:0000122~negative regulation of transcription by RNA polymerase II,GO:0006094~gluconeogenesis,GO:0007623~circadian rhythm,GO:0009416~response to light stimulus,GO:0014823~response to activity,GO:0019915~lipid storage,GO:0031397~negative regulation of protein ubiquitination,GO:0031398~positive regulation of protein ubiquitination,GO:0032868~response to insulin,GO:0032922~circadian regulation of gene expression,GO:0033762~response to glucagon,GO:0042593~glucose homeostasis,GO:0042752~regulation of circadian rhythm,GO:0042754~negative regulation of circadian rhythm,GO:0042770~signal transduction in response to DNA damage,GO:0043153~entrainment of circadian clock by photoperiod,GO:0045721~negative regulation of gluconeogenesis,GO:0045722~positive regulation of gluconeogenesis,GO:0045744~negative regulation of G protein-coupled receptor signaling pathway,GO:0045892~negative regulation of DNA-templated transcription,GO:2000001~regulation of DNA damage checkpoint,GO:2000323~negative regulation of glucocorticoid receptor signaling pathway,GO:2000850~negative regulation of glucocorticoid secretion,	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005739~mitochondrion,	GO:0003677~DNA binding,GO:0009881~photoreceptor activity,GO:0016922~nuclear receptor binding,GO:0019901~protein kinase binding,GO:0019902~phosphatase binding,GO:0042826~histone deacetylase binding,GO:0070888~E-box binding,GO:0071949~FAD binding,	IPR002081:Cryptochrome/DNA_photolyase_1,IPR005101:Cryptochr/Photolyase_FAD-bd,IPR006050:DNA_photolyase_N,IPR014729:Rossmann-like_a/b/a_fold,IPR036134:Crypto/Photolyase_FAD-like_sf,IPR036155:Crypto/Photolyase_N_sf,	mcf04710:Circadian rhythm,				KW-0090~Biological rhythms,KW-0716~Sensory transduction,KW-0804~Transcription,KW-0805~Transcription regulation,	KW-0539~Nucleus,KW-0963~Cytoplasm,			KW-0157~Chromophore,KW-0274~FAD,KW-0285~Flavoprotein,KW-0547~Nucleotide-binding,	KW-0600~Photoreceptor protein,KW-0675~Receptor,KW-0678~Repressor,	KW-0597~Phosphoprotein,KW-0832~Ubl conjugation,KW-1017~Isopeptide bond,	CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in ubiquitin),DOMAIN:Photolyase/cryptochrome alpha/beta,MOTIF:LIR 1,MOTIF:LIR 10,MOTIF:LIR 11,MOTIF:LIR 12,MOTIF:LIR 13,MOTIF:LIR 2,MOTIF:LIR 3,MOTIF:LIR 4,MOTIF:LIR 5,MOTIF:LIR 6,MOTIF:LIR 7,MOTIF:LIR 8,MOTIF:LIR 9,REGION:Disordered,REGION:Interaction with TIMELESS,REGION:Required for inhibition of CLOCK-BMAL1-mediated transcription,SITE:Electron transfer via tryptophanyl radical,
Q9R194	cryptochrome circadian regulator 2(Cry2)	Mus musculus	m_circadianPathway:Circadian Rhythms,	DNA replication, recombination, and repair,	GO:0000122~negative regulation of transcription by RNA polymerase II,GO:0006606~protein import into nucleus,GO:0007623~circadian rhythm,GO:0009416~response to light stimulus,GO:0014823~response to activity,GO:0019915~lipid storage,GO:0032868~response to insulin,GO:0032922~circadian regulation of gene expression,GO:0042593~glucose homeostasis,GO:0042752~regulation of circadian rhythm,GO:0042754~negative regulation of circadian rhythm,GO:0043153~entrainment of circadian clock by photoperiod,GO:0045892~negative regulation of DNA-templated transcription,GO:2000118~regulation of sodium-dependent phosphate transport,GO:2000323~negative regulation of glucocorticoid receptor signaling pathway,GO:2000850~negative regulation of glucocorticoid secretion,	GO:0005576~extracellular region,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0005739~mitochondrion,GO:0005829~cytosol,GO:0016607~nuclear speck,GO:1990512~Cry-Per complex,	GO:0000976~transcription cis-regulatory region binding,GO:0003677~DNA binding,GO:0003684~damaged DNA binding,GO:0003697~single-stranded DNA binding,GO:0004864~protein phosphatase inhibitor activity,GO:0005515~protein binding,GO:0009881~photoreceptor activity,GO:0016922~nuclear receptor binding,GO:0019900~kinase binding,GO:0019901~protein kinase binding,GO:0019902~phosphatase binding,GO:0071949~FAD binding,	IPR002081:Cryptochrome/DNA_photolyase_1,IPR005101:Cryptochr/Photolyase_FAD-bd,IPR006050:DNA_photolyase_N,IPR014729:Rossmann-like_a/b/a_fold,IPR036134:Crypto/Photolyase_FAD-like_sf,IPR036155:Crypto/Photolyase_N_sf,	mmu04710:Circadian rhythm,				KW-0090~Biological rhythms,KW-0716~Sensory transduction,KW-0804~Transcription,KW-0805~Transcription regulation,	KW-0539~Nucleus,KW-0963~Cytoplasm,			KW-0157~Chromophore,KW-0274~FAD,KW-0285~Flavoprotein,KW-0547~Nucleotide-binding,	KW-0600~Photoreceptor protein,KW-0675~Receptor,KW-0678~Repressor,	KW-0597~Phosphoprotein,KW-0832~Ubl conjugation,KW-1017~Isopeptide bond,	COMPBIAS:Basic and acidic residues,COMPBIAS:Polar residues,CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in ubiquitin),DOMAIN:Cryptochrome/DNA photolyase FAD-binding,DOMAIN:Photolyase/cryptochrome alpha/beta,MUTAGEN:D->R: Strongly reduces PER1 binding.,MUTAGEN:F->D: Abolishes binding of FBXL3 and SKP1. Strongly decreases CRY2 degradation.,MUTAGEN:G->D: Loss of ability to inhibit CLOCK-BMAL1-mediated transcriptional activity. No loss of ability to inhibit NR1I2 transcriptional activity.,MUTAGEN:I->D: Abolishes binding of FBXL3 and SKP1. Strongly decreases CRY2 degradation.,MUTAGEN:K->R: Inhibits interaction with PER2. Does not suppress its nuclear localization. Inhibits its repression activity on CLOCK|NPAS2-BMAL1-driven transcription.,MUTAGEN:L->D: Decreases FBXL3 binding. Strongly decreases CRY2 degradation.,MUTAGEN:R->A: Impairs protein folding. Abolishes binding of BMAL1, PER1 and FBXL3. Strongly reduces SKP1 binding.,MUTAGEN:R->K: Reduced interaction with NR1I2 and NR1I3. Significant decrease in interaction with NR1I2 and NR1I3; when associated with E-394 and M-396.,MUTAGEN:R->Q: Inhibits interaction with PER2. Does not suppress its nuclear localization. Inhibits its repression activity on CLOCK|NPAS2-BMAL1-driven transcription.,MUTAGEN:S->A: Reduced in vitro MAPK-catalyzed phosphorylation. No effect on inhibition of CLOCK-BMAL1-mediated transcriptional activity. Very little in vitro MAPK-catalyzed phosphorylation; when associated with A-265. Shorter circadian rhythm; when associated with A-553.,MUTAGEN:S->A: Reduced in vitro MAPK-catalyzed phosphorylation. No effect on inhibition of CLOCK-BMAL1-mediated transcriptional activity. Very little in vitro MAPK-catalyzed phosphorylation; when associated with A-557.,MUTAGEN:S->A: Shorter circadian rhythm; when associated with A-557.,MUTAGEN:S->D: Reduced inhibition of CLOCK-BMAL1-mediated transcriptional activity. No effect on nuclear localization nor on protein stability.,MUTAGEN:S->E: Reduced interaction with NR1I2 and NR1I3. Significant decrease in interaction with NR1I2 and NR1I3; when associated with M-396 and K-397.,MUTAGEN:V->M: Reduced interaction with NR1I2 and NR1I3. Significant decrease in interaction with NR1I2 and NR1I3; when associated with E-394 and K-397.,MUTAGEN:W->A: Decreases FBXL3 binding. Strongly decreases CRY2 degradation.,REGION:Disordered,REGION:Required for inhibition of CLOCK-BMAL1-mediated transcription,
O42412	deiodinase, iodothyronine type III(DIO3)	Gallus gallus			GO:0042403~thyroid hormone metabolic process,GO:0042446~hormone biosynthetic process,	GO:0005886~plasma membrane,GO:0010008~endosome membrane,	GO:0004800~thyroxine 5'-deiodinase activity,GO:0033798~thyroxine 5-deiodinase activity,	IPR000643:Iodothyronine_deiodinase,IPR008261:Iodothyronine_deiodinase_AS,IPR027252:Iodothyronine_deiodinase_I/III,IPR036249:Thioredoxin-like_sf,			PIRSF001330:IOD,PIRSF500144:IODI_III,		KW-0893~Thyroid hormones biosynthesis,	KW-0472~Membrane,KW-0967~Endosome,KW-1003~Cell membrane,		KW-0735~Signal-anchor,KW-0812~Transmembrane,KW-1133~Transmembrane helix,		KW-0560~Oxidoreductase,		NON_STD:Selenocysteine,TOPO_DOM:Extracellular,TRANSMEM:Helical,TRANSMEM:Helical; Signal-anchor for type II membrane protein,
Q6R5J2	dispatched homolog 1 (Drosophila)(disp1)	Danio rerio			GO:0007224~smoothened signaling pathway,GO:0007519~skeletal muscle tissue development,GO:0008015~blood circulation,GO:0009887~animal organ morphogenesis,GO:0009952~anterior/posterior pattern specification,GO:0021984~adenohypophysis development,GO:0031290~retinal ganglion cell axon guidance,GO:0042694~muscle cell fate specification,GO:0048701~embryonic cranial skeleton morphogenesis,GO:0048839~inner ear development,	GO:0016020~membrane,	GO:1904680~peptide transmembrane transporter activity,	IPR000731:SSD,IPR003392:Ptc/Disp,IPR052081:Dispatched_Hh_regulator,	dre04340:Hedgehog signaling pathway,					KW-0472~Membrane,		KW-0812~Transmembrane,KW-1133~Transmembrane helix,		KW-0217~Developmental protein,KW-9996~Developmental protein,	KW-0325~Glycoprotein,	CARBOHYD:N-linked (GlcNAc...) asparagine,COMPBIAS:Polar residues,DOMAIN:SSD,REGION:Disordered,TRANSMEM:Helical,
Q15370	elongin B(ELOB)	Homo sapiens			GO:0006367~transcription initiation at RNA polymerase II promoter,GO:0006368~transcription elongation by RNA polymerase II,GO:0016567~protein ubiquitination,GO:0032436~positive regulation of proteasomal ubiquitin-dependent protein catabolic process,GO:0065003~protein-containing complex assembly,GO:0140958~target-directed miRNA degradation,	GO:0005654~nucleoplasm,GO:0005829~cytosol,GO:0030891~VCB complex,GO:0031462~Cul2-RING ubiquitin ligase complex,GO:0031466~Cul5-RING ubiquitin ligase complex,GO:0070449~elongin complex,	GO:0001222~transcription corepressor binding,GO:0003746~translation elongation factor activity,GO:0005515~protein binding,GO:0031625~ubiquitin protein ligase binding,	IPR000626:Ubiquitin-like_dom,IPR029071:Ubiquitin-like_domsf,IPR039049:ELOB,	hsa04066:HIF-1 signaling pathway,hsa04120:Ubiquitin mediated proteolysis,hsa05170:Human immunodeficiency virus 1 infection,hsa05200:Pathways in cancer,hsa05211:Renal cell carcinoma,			SM00213:UBQ,	KW-0648~Protein biosynthesis,KW-0804~Transcription,KW-0805~Transcription regulation,KW-0833~Ubl conjugation pathway,KW-0945~Host-virus interaction,	KW-0539~Nucleus,				KW-0251~Elongation factor,	KW-0007~Acetylation,KW-0597~Phosphoprotein,	DOMAIN:Ubiquitin-like,REGION:Disordered,
Q90705	eukaryotic translation elongation factor 2(EEF2)	Gallus gallus		Translation, ribosomal structure and biogenesis,	GO:0006412~translation,GO:0006414~translational elongation,	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:1990904~ribonucleoprotein complex,	GO:0003746~translation elongation factor activity,GO:0003924~GTPase activity,GO:0005525~GTP binding,GO:0043022~ribosome binding,	IPR000640:EFG_V-like,IPR000795:T_Tr_GTP-bd_dom,IPR004161:EFTu-like_2,IPR005225:Small_GTP-bd_dom,IPR005517:Transl_elong_EFG/EF2_IV,IPR009000:Transl_B-barrel_sf,IPR014721:Ribsml_uS5_D2-typ_fold_subgr,IPR020568:Ribosomal_Su5_D2-typ_SF,IPR027417:P-loop_NTPase,IPR031157:G_TR_CS,IPR035647:EFG_III/V,IPR041095:EFG_II,				SM00838:EFG_C,SM00889:EFG_IV,	KW-0648~Protein biosynthesis,	KW-0539~Nucleus,KW-0963~Cytoplasm,			KW-0342~GTP-binding,KW-0547~Nucleotide-binding,	KW-0251~Elongation factor,KW-0378~Hydrolase,	KW-0597~Phosphoprotein,	DOMAIN:Tr-type G,DOMAIN:tr-type G,REGION:Disordered,
Q80U96	exportin 1(Xpo1)	Rattus norvegicus		Nuclear structure / Intracellular trafficking and secretion,	GO:0000054~ribosomal subunit export from nucleus,GO:0000055~ribosomal large subunit export from nucleus,GO:0000056~ribosomal small subunit export from nucleus,GO:0000122~negative regulation of transcription by RNA polymerase II,GO:0006406~mRNA export from nucleus,GO:0006611~protein export from nucleus,GO:0006913~nucleocytoplasmic transport,GO:0009410~response to xenobiotic stimulus,GO:0010824~regulation of centrosome duplication,GO:0032434~regulation of proteasomal ubiquitin-dependent protein catabolic process,GO:0034504~protein localization to nucleus,GO:0042176~regulation of protein catabolic process,GO:0042254~ribosome biogenesis,GO:0046825~regulation of protein export from nucleus,GO:0071401~cellular response to triglyceride,GO:1902075~cellular response to salt,	GO:0000776~kinetochore,GO:0005634~nucleus,GO:0005642~annulate lamellae,GO:0005654~nucleoplasm,GO:0005730~nucleolus,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0015030~Cajal body,GO:0031965~nuclear membrane,GO:0032991~protein-containing complex,GO:0043231~intracellular membrane-bounded organelle,GO:1990904~ribonucleoprotein complex,	GO:0003723~RNA binding,GO:0005049~nuclear export signal receptor activity,GO:0005515~protein binding,GO:0019904~protein domain specific binding,GO:0031267~small GTPase binding,GO:0140297~DNA-binding transcription factor binding,	IPR001494:Importin-beta_N,IPR011989:ARM-like,IPR013598:Exportin-1/Importin-b-like,IPR014877:XPO1_C_dom,IPR016024:ARM-type_fold,IPR040485:XPO1_repeat_3,IPR041123:CRM1_repeat,IPR041235:Exp1_repeat_2,IPR045065:XPO1/5,	rno03008:Ribosome biogenesis in eukaryotes,rno03013:Nucleocytoplasmic transport,rno03250:Viral life cycle - HIV-1,rno05164:Influenza A,rno05166:Human T-cell leukemia virus 1 infection,			SM00913:IBN_N,SM01102:CRM1_C,	KW-0509~mRNA transport,KW-0653~Protein transport,KW-0813~Transport,	KW-0539~Nucleus,KW-0963~Cytoplasm,		KW-0677~Repeat,		KW-0694~RNA-binding,	KW-0007~Acetylation,KW-0597~Phosphoprotein,	DOMAIN:Exportin-1 C-terminal,DOMAIN:Importin N-terminal,REGION:Necessary for interaction with RANBP3,REGION:Necessary for interaction with Ran and nuclear export complex formation,REPEAT:HEAT 1,REPEAT:HEAT 10,REPEAT:HEAT 2,REPEAT:HEAT 3,REPEAT:HEAT 4,REPEAT:HEAT 5,REPEAT:HEAT 6,REPEAT:HEAT 7,REPEAT:HEAT 8,REPEAT:HEAT 9,
Q99315	gag-pol fusion protein(YGR109W-B)	Saccharomyces cerevisiae S288C			GO:0006278~RNA-templated DNA biosynthetic process,GO:0006310~DNA recombination,GO:0006508~proteolysis,GO:0015074~DNA integration,GO:0032197~retrotransposition,GO:0071897~DNA biosynthetic process,GO:0075523~viral translational frameshifting,	GO:0000943~retrotransposon nucleocapsid,GO:0005634~nucleus,GO:0005737~cytoplasm,	GO:0003676~nucleic acid binding,GO:0003677~DNA binding,GO:0003720~telomerase activity,GO:0003723~RNA binding,GO:0003887~DNA-directed DNA polymerase activity,GO:0003964~RNA-directed DNA polymerase activity,GO:0004190~aspartic-type endopeptidase activity,GO:0004519~endonuclease activity,GO:0004523~RNA-DNA hybrid ribonuclease activity,GO:0004540~RNA nuclease activity,GO:0005524~ATP binding,GO:0008233~peptidase activity,GO:0008270~zinc ion binding,GO:0034061~DNA polymerase activity,GO:0046872~metal ion binding,	IPR000477:RT_dom,IPR001584:Integrase_cat-core,IPR001878:Znf_CCHC,IPR012337:RNaseH-like_sf,IPR021109:Peptidase_aspartic_dom_sf,IPR024650:Peptidase_A2B,IPR036397:RNaseH_sf,IPR036875:Znf_CCHC_sf,IPR041577:RT_RNaseH_2,IPR041588:Integrase_H2C2,IPR043128:Rev_trsase/Diguanyl_cyclase,IPR043502:DNA/RNA_pol_sf,IPR045358:Ty3_capsid,IPR050951:Retrovirus_Pol_polyprotein,				SM00343:ZnF_C2HC,	KW-0229~DNA integration,KW-0233~DNA recombination,KW-0917~Virion maturation,KW-1188~Viral release from host cell,	KW-0539~Nucleus,KW-0963~Cytoplasm,		KW-0863~Zinc-finger,	KW-0067~ATP-binding,KW-0460~Magnesium,KW-0479~Metal-binding,KW-0547~Nucleotide-binding,KW-0862~Zinc,	KW-0064~Aspartyl protease,KW-0238~DNA-binding,KW-0239~DNA-directed DNA polymerase,KW-0255~Endonuclease,KW-0378~Hydrolase,KW-0511~Multifunctional enzyme,KW-0540~Nuclease,KW-0548~Nucleotidyltransferase,KW-0645~Protease,KW-0694~RNA-binding,KW-0695~RNA-directed DNA polymerase,KW-0808~Transferase,	KW-0007~Acetylation,	ACT_SITE:For protease activity; shared with dimeric partner,DOMAIN:Integrase catalytic,DOMAIN:RNase H Ty3/gyspy-type,DOMAIN:Reverse transcriptase,MUTAGEN:C->S: Reduces level of VLP formation and maturation.,MUTAGEN:H->Q: Reduces level of VLP formation and maturation.,PEPTIDE:Spacer peptide J,PEPTIDE:Spacer peptide p3,REGION:Integrase-type zinc finger-like,SITE:Cleavage; by Ty3 protease,SITE:Cleavage; by Ty3 protease; partial,ZN_FING:CCHC-type,
