ID	Gene Name	Species	COG_ONTOLOGY	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	PIR_SUPERFAMILY	SMART	UP_KW_BIOLOGICAL_PROCESS	UP_KW_CELLULAR_COMPONENT	UP_KW_DISEASE	UP_KW_DOMAIN	UP_KW_LIGAND	UP_KW_MOLECULAR_FUNCTION	UP_KW_PTM	UP_SEQ_FEATURE
Q8K3Z0	nucleotide-binding oligomerization domain containing 2(Nod2)	Mus musculus		GO:0000165~MAPK cascade,GO:0001659~temperature homeostasis,GO:0002221~pattern recognition receptor signaling pathway,GO:0002227~innate immune response in mucosa,GO:0002250~adaptive immune response,GO:0002253~activation of immune response,GO:0002381~immunoglobulin production involved in immunoglobulin-mediated immune response,GO:0002606~positive regulation of dendritic cell antigen processing and presentation,GO:0002710~negative regulation of T cell mediated immunity,GO:0002720~positive regulation of cytokine production involved in immune response,GO:0002732~positive regulation of dendritic cell cytokine production,GO:0002815~biosynthetic process of antibacterial peptides active against Gram-positive bacteria,GO:0002830~positive regulation of type 2 immune response,GO:0002862~negative regulation of inflammatory response to antigenic stimulus,GO:0002925~positive regulation of humoral immune response mediated by circulating immunoglobulin,GO:0006909~phagocytosis,GO:0006914~autophagy,GO:0006952~defense response,GO:0006954~inflammatory response,GO:0006963~positive regulation of antibacterial peptide biosynthetic process,GO:0006965~positive regulation of biosynthetic process of antibacterial peptides active against Gram-positive bacteria,GO:0007165~signal transduction,GO:0007254~JNK cascade,GO:0007584~response to nutrient,GO:0008284~positive regulation of cell population proliferation,GO:0009595~detection of biotic stimulus,GO:0010508~positive regulation of autophagy,GO:0010646~regulation of cell communication,GO:0010934~macrophage cytokine production,GO:0010936~negative regulation of macrophage cytokine production,GO:0016045~detection of bacterium,GO:0018108~peptidyl-tyrosine phosphorylation,GO:0023051~regulation of signaling,GO:0030277~maintenance of gastrointestinal epithelium,GO:0031398~positive regulation of protein ubiquitination,GO:0032088~negative regulation of NF-kappaB transcription factor activity,GO:0032098~regulation of appetite,GO:0032494~response to peptidoglycan,GO:0032495~response to muramyl dipeptide,GO:0032496~response to lipopolysaccharide,GO:0032498~detection of muramyl dipeptide,GO:0032609~type II interferon production,GO:0032615~interleukin-12 production,GO:0032621~interleukin-18 production,GO:0032623~interleukin-2 production,GO:0032635~interleukin-6 production,GO:0032640~tumor necrosis factor production,GO:0032689~negative regulation of type II interferon production,GO:0032695~negative regulation of interleukin-12 production,GO:0032701~negative regulation of interleukin-18 production,GO:0032703~negative regulation of interleukin-2 production,GO:0032720~negative regulation of tumor necrosis factor production,GO:0032731~positive regulation of interleukin-1 beta production,GO:0032733~positive regulation of interleukin-10 production,GO:0032735~positive regulation of interleukin-12 production,GO:0032740~positive regulation of interleukin-17 production,GO:0032755~positive regulation of interleukin-6 production,GO:0032757~positive regulation of interleukin-8 production,GO:0032760~positive regulation of tumor necrosis factor production,GO:0032874~positive regulation of stress-activated MAPK cascade,GO:0034134~toll-like receptor 2 signaling pathway,GO:0034136~negative regulation of toll-like receptor 2 signaling pathway,GO:0034976~response to endoplasmic reticulum stress,GO:0035556~intracellular signal transduction,GO:0036335~intestinal stem cell homeostasis,GO:0042742~defense response to bacterium,GO:0042981~regulation of apoptotic process,GO:0043123~positive regulation of canonical NF-kappaB signal transduction,GO:0043330~response to exogenous dsRNA,GO:0043410~positive regulation of MAPK cascade,GO:0045087~innate immune response,GO:0045088~regulation of innate immune response,GO:0045089~positive regulation of innate immune response,GO:0045747~positive regulation of Notch signaling pathway,GO:0045944~positive regulation of transcription by RNA polymerase II,GO:0046330~positive regulation of JNK cascade,GO:0048874~host-mediated regulation of intestinal microbiota composition,GO:0050679~positive regulation of epithelial cell proliferation,GO:0050727~regulation of inflammatory response,GO:0050731~positive regulation of peptidyl-tyrosine phosphorylation,GO:0050766~positive regulation of phagocytosis,GO:0050830~defense response to Gram-positive bacterium,GO:0050871~positive regulation of B cell activation,GO:0051092~positive regulation of NF-kappaB transcription factor activity,GO:0051403~stress-activated MAPK cascade,GO:0051649~establishment of localization in cell,GO:0051770~positive regulation of nitric-oxide synthase biosynthetic process,GO:0060907~positive regulation of macrophage cytokine production,GO:0070371~ERK1 and ERK2 cascade,GO:0070374~positive regulation of ERK1 and ERK2 cascade,GO:0070431~nucleotide-binding oligomerization domain containing 2 signaling pathway,GO:0071222~cellular response to lipopolysaccharide,GO:0071224~cellular response to peptidoglycan,GO:0071225~cellular response to muramyl dipeptide,GO:0071407~cellular response to organic cyclic compound,GO:0071608~macrophage inflammatory protein-1 alpha production,GO:0071639~positive regulation of monocyte chemotactic protein-1 production,GO:0090022~regulation of neutrophil chemotaxis,GO:0098792~xenophagy,GO:0140367~antibacterial innate immune response,GO:1900017~positive regulation of cytokine production involved in inflammatory response,GO:1901224~positive regulation of non-canonical NF-kappaB signal transduction,GO:1901526~positive regulation of mitophagy,GO:1902523~positive regulation of protein K63-linked ubiquitination,GO:1904417~positive regulation of xenophagy,GO:2000110~negative regulation of macrophage apoptotic process,	GO:0005737~cytoplasm,GO:0005739~mitochondrion,GO:0005794~Golgi apparatus,GO:0005829~cytosol,GO:0005856~cytoskeleton,GO:0005886~plasma membrane,GO:0009986~cell surface,GO:0016323~basolateral plasma membrane,GO:0016328~lateral plasma membrane,GO:0019897~extrinsic component of plasma membrane,GO:0031982~vesicle,GO:0032991~protein-containing complex,GO:0045335~phagocytic vesicle,	GO:0003779~actin binding,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0019899~enzyme binding,GO:0019901~protein kinase binding,GO:0030544~Hsp70 protein binding,GO:0032500~muramyl dipeptide binding,GO:0038187~pattern recognition receptor activity,GO:0042834~peptidoglycan binding,GO:0043130~ubiquitin binding,GO:0043531~ADP binding,GO:0044877~protein-containing complex binding,GO:0050700~CARD domain binding,GO:0051879~Hsp90 protein binding,GO:0097367~carbohydrate derivative binding,	IPR001315:CARD,IPR001611:Leu-rich_rpt,IPR007111:NACHT_NTPase,IPR011029:DEATH-like_dom_sf,IPR018228:DNase_TatD-rel_CS,IPR027417:P-loop_NTPase,IPR032675:LRR_dom_sf,IPR041075:NOD1/2_WH,IPR041267:NLRP_HD2,IPR051261:NLR,	mmu04621:NOD-like receptor signaling pathway,mmu04668:TNF signaling pathway,mmu05152:Tuberculosis,mmu05321:Inflammatory bowel disease,			SM00368:LRR_RI,	KW-0072~Autophagy,KW-0391~Immunity,KW-0399~Innate immunity,KW-1064~Adaptive immunity,	KW-0472~Membrane,KW-0496~Mitochondrion,KW-0963~Cytoplasm,KW-1003~Cell membrane,		KW-0433~Leucine-rich repeat,KW-0677~Repeat,	KW-0067~ATP-binding,KW-0547~Nucleotide-binding,		KW-0325~Glycoprotein,KW-0449~Lipoprotein,KW-0564~Palmitate,KW-0832~Ubl conjugation,	DOMAIN:CARD,DOMAIN:CARD 1,DOMAIN:CARD 2,DOMAIN:NACHT,LIPID:S-palmitoyl cysteine,MOTIF:ATG16L1-binding motif,MUTAGEN:LSRNSAILEVWLRGNTFSLEEIQTLSSRDARLLL->P: Mutation that mimics human L1007fsinsC variant; knockin mice show elevated NF-kappa-B activation in response to muramyl dipeptide and more efficient processing and secretion of the cytokine IL1B.,MUTAGEN:R->Q: Mutation that mimics a human variant associated with Blau syndrome (BLAUS); knockin mice show impaired response to muramyl dipeptide.,REGION:Required for CARD9 binding,REPEAT:LRR 1,REPEAT:LRR 10,REPEAT:LRR 2,REPEAT:LRR 3,REPEAT:LRR 4,REPEAT:LRR 5,REPEAT:LRR 6,REPEAT:LRR 7,REPEAT:LRR 8,REPEAT:LRR 9,
Q6V0K7	oncoprotein induced transcript 3(Oit3)	Rattus norvegicus		GO:0003014~renal system process,	GO:0005615~extracellular space,GO:0005635~nuclear envelope,GO:0009986~cell surface,	GO:0005509~calcium ion binding,GO:0005515~protein binding,	IPR000742:EGF-like_dom,IPR001507:ZP_dom,IPR001881:EGF-like_Ca-bd_dom,IPR042235:ZP-C,IPR048290:ZP_chr,				SM00179:EGF_CA,SM00181:EGF,SM00241:ZP,		KW-0539~Nucleus,		KW-0245~EGF-like domain,KW-0732~Signal,	KW-0106~Calcium,		KW-0325~Glycoprotein,KW-1015~Disulfide bond,	CARBOHYD:N-linked (GlcNAc...) asparagine,DOMAIN:EGF-like; calcium-binding,DOMAIN:ZP,REGION:Disordered,
Q7T0T9	phospholipase A2 group IVA L homeolog(pla2g4a.L)	Xenopus laevis		GO:0009395~phospholipid catabolic process,GO:0016042~lipid catabolic process,	GO:0005737~cytoplasm,GO:0031410~cytoplasmic vesicle,	GO:0004620~phospholipase activity,GO:0004622~lysophospholipase activity,GO:0004623~phospholipase A2 activity,GO:0005509~calcium ion binding,GO:0016787~hydrolase activity,GO:0046872~metal ion binding,GO:0047498~calcium-dependent phospholipase A2 activity,GO:0047499~calcium-independent phospholipase A2 activity,	IPR000008:C2_dom,IPR002642:LysoPLipase_cat_dom,IPR016035:Acyl_Trfase/lysoPLipase,IPR035892:C2_domain_sf,IPR041847:C2_cPLA2,	xla00564:Glycerophospholipid metabolism,xla00565:Ether lipid metabolism,xla00590:Arachidonic acid metabolism,xla00591:Linoleic acid metabolism,xla00592:alpha-Linolenic acid metabolism,xla01100:Metabolic pathways,xla04010:MAPK signaling pathway,xla04217:Necroptosis,xla04270:Vascular smooth muscle contraction,xla04370:VEGF signaling pathway,xla04912:GnRH signaling pathway,			SM00022:PLAc,SM00239:C2,	KW-0442~Lipid degradation,KW-0443~Lipid metabolism,	KW-0963~Cytoplasm,KW-0968~Cytoplasmic vesicle,			KW-0106~Calcium,KW-0479~Metal-binding,	KW-0378~Hydrolase,		ACT_SITE:Nucleophile,ACT_SITE:Proton acceptor,COMPBIAS:Basic and acidic residues,DOMAIN:C2,DOMAIN:PLA2c,REGION:Disordered,REGION:Phospholipid binding,
Q0VGM9	regulator of telomere elongation helicase 1(Rtel1)	Mus musculus		GO:0000723~telomere maintenance,GO:0000732~DNA strand displacement,GO:0006281~DNA repair,GO:0006338~chromatin remodeling,GO:0010569~regulation of double-strand break repair via homologous recombination,GO:0031297~replication fork processing,GO:0032206~positive regulation of telomere maintenance,GO:0032508~DNA duplex unwinding,GO:0043247~telomere maintenance in response to DNA damage,GO:0045910~negative regulation of DNA recombination,GO:0061820~telomeric D-loop disassembly,GO:0090657~telomeric loop disassembly,GO:0140588~chromatin looping,GO:1902990~mitotic telomere maintenance via semi-conservative replication,GO:1904355~positive regulation of telomere capping,GO:1904358~positive regulation of telomere maintenance via telomere lengthening,GO:1904430~negative regulation of t-circle formation,GO:1904506~negative regulation of telomere maintenance in response to DNA damage,GO:1904535~positive regulation of telomeric loop disassembly,	GO:0000781~chromosome, telomeric region,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0016607~nuclear speck,GO:0031965~nuclear membrane,	GO:0003677~DNA binding,GO:0003678~DNA helicase activity,GO:0003689~DNA clamp loader activity,GO:0004386~helicase activity,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0009378~four-way junction helicase activity,GO:0016818~hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides,GO:0016853~isomerase activity,GO:0016887~ATP hydrolysis activity,GO:0036121~double-stranded DNA helicase activity,GO:0046872~metal ion binding,GO:0051539~4 iron, 4 sulfur cluster binding,GO:0061749~forked DNA-dependent helicase activity,GO:0061775~cohesin loader activity,GO:0070182~DNA polymerase binding,GO:0140584~chromatin extrusion motor activity,GO:0140665~ATP-dependent H3-H4 histone complex chaperone activity,GO:0140849~ATP-dependent H2AZ histone chaperone activity,GO:1990518~single-stranded 3'-5' DNA helicase activity,	IPR006554:Helicase-like_DEXD_c2,IPR006555:ATP-dep_Helicase_C,IPR006935:Helicase/UvrB_N,IPR010614:RAD3-like_helicase_DEAD,IPR013020:Rad3/Chl1-like,IPR014013:Helic_SF1/SF2_ATP-bd_DinG/Rad3,IPR027417:P-loop_NTPase,IPR030845:RTEL1,IPR045028:DinG/Rad3-like,IPR049909:HHD_RTEL1,				SM00488:DEXDc2,SM00491:HELICc2,	KW-0227~DNA damage,KW-0234~DNA repair,	KW-0539~Nucleus,			KW-0004~4Fe-4S,KW-0067~ATP-binding,KW-0408~Iron,KW-0411~Iron-sulfur,KW-0479~Metal-binding,KW-0547~Nucleotide-binding,	KW-0238~DNA-binding,KW-0347~Helicase,KW-0378~Hydrolase,KW-0413~Isomerase,		COMPBIAS:Basic and acidic residues,COMPBIAS:Polar residues,DOMAIN:Helicase ATP-binding,MOTIF:DEAH box,MOTIF:Nuclear localization signal,MOTIF:PIP-box,MUTAGEN:F->A: Abolishes interaction with PCNA.,MUTAGEN:I->A: Abolishes interaction with PCNA.,MUTAGEN:K->R: Abolishes G4-DNA unwinding activity.,MUTAGEN:Q->A: Abolishes interaction with PCNA.,REGION:Disordered,
Q9NZJ4	sacsin molecular chaperone(SACS)	Homo sapiens	Posttranslational modification, protein turnover, chaperones,	GO:0006457~protein folding,GO:0090084~negative regulation of inclusion body assembly,	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005739~mitochondrion,GO:0030424~axon,GO:0030425~dendrite,GO:0070852~cell body fiber,	GO:0030544~Hsp70 protein binding,GO:0042802~identical protein binding,GO:0050750~low-density lipoprotein particle receptor binding,GO:0051087~protein-folding chaperone binding,GO:0070628~proteasome binding,	IPR000626:Ubiquitin-like_dom,IPR001623:DnaJ_domain,IPR007842:HEPN_dom,IPR029071:Ubiquitin-like_domsf,IPR036869:J_dom_sf,IPR036890:HATPase_C_sf,IPR052972:Sacsin_chaperone_reg,		270550~Spastic ataxia, Charlevoix-Saguenay type,		SM00748:HEPN,		KW-0963~Cytoplasm,	KW-0225~Disease variant,KW-0523~Neurodegeneration,			KW-0143~Chaperone,	KW-0007~Acetylation,KW-0597~Phosphoprotein,	COMPBIAS:Polar residues,DOMAIN:HEPN,DOMAIN:J,DOMAIN:Ubiquitin-like,REGION:Disordered,
Q9PV94	small nuclear ribonucleoprotein polypeptide N(SNRPN)	Gallus gallus		GO:0000387~spliceosomal snRNP assembly,GO:0000398~mRNA splicing, via spliceosome,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005682~U5 snRNP,GO:0005683~U7 snRNP,GO:0005684~U2-type spliceosomal complex,GO:0005685~U1 snRNP,GO:0005686~U2 snRNP,GO:0005687~U4 snRNP,GO:0005689~U12-type spliceosomal complex,GO:0005697~telomerase holoenzyme complex,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0034709~methylosome,GO:0034719~SMN-Sm protein complex,GO:0046540~U4/U6 x U5 tri-snRNP complex,GO:0071004~U2-type prespliceosome,GO:0071005~U2-type precatalytic spliceosome,GO:0071007~U2-type catalytic step 2 spliceosome,GO:0071013~catalytic step 2 spliceosome,GO:1990904~ribonucleoprotein complex,	GO:0003723~RNA binding,GO:0070034~telomerase RNA binding,GO:0070990~snRNP binding,	IPR001163:Sm_dom_euk/arc,IPR010920:LSM_dom_sf,IPR017131:snRNP-assoc_SmB/SmN,IPR047575:Sm,IPR050914:snRNP_SmB_SmN,	gga03040:Spliceosome,		PIRSF037187:snRNP_SmB/SmN,	SM00651:Sm,	KW-0507~mRNA processing,KW-0508~mRNA splicing,	KW-0539~Nucleus,KW-0747~Spliceosome,KW-0963~Cytoplasm,		KW-0677~Repeat,		KW-0687~Ribonucleoprotein,KW-0694~RNA-binding,		COMPBIAS:Pro residues,DOMAIN:Sm,REGION:Disordered,REGION:Repeat-rich region,
O43246	solute carrier family 7 member 4(SLC7A4)	Homo sapiens		GO:0006865~amino acid transport,GO:1990822~basic amino acid transmembrane transport,	GO:0005886~plasma membrane,GO:0016020~membrane,	GO:0015171~amino acid transmembrane transporter activity,GO:0015174~basic amino acid transmembrane transporter activity,GO:0022857~transmembrane transporter activity,	IPR002293:AA/rel_permease1,IPR029485:CAT_C,			PIRSF006060:AA_transporter,		KW-0029~Amino-acid transport,KW-0813~Transport,	KW-0472~Membrane,		KW-0812~Transmembrane,KW-1133~Transmembrane helix,			KW-0325~Glycoprotein,KW-0597~Phosphoprotein,	CARBOHYD:N-linked (GlcNAc...) asparagine,DOMAIN:Cationic amino acid transporter C-terminal,TRANSMEM:Helical,
Q96AY4	tetratricopeptide repeat domain 28(TTC28)	Homo sapiens		GO:0007346~regulation of mitotic cell cycle,GO:0051301~cell division,	GO:0000922~spindle pole,GO:0005737~cytoplasm,GO:0005813~centrosome,GO:0030496~midbody,	GO:0019900~kinase binding,	IPR011990:TPR-like_helical_dom_sf,IPR019734:TPR_repeat,IPR024983:CHAT_dom,IPR052699:Reg/Mitotic_Spindle_Assoc,				SM00028:TPR,	KW-0131~Cell cycle,KW-0132~Cell division,KW-0498~Mitosis,	KW-0206~Cytoskeleton,KW-0963~Cytoplasm,		KW-0175~Coiled coil,KW-0677~Repeat,KW-0802~TPR repeat,			KW-0007~Acetylation,KW-0597~Phosphoprotein,	COMPBIAS:Polar residues,DOMAIN:CHAT,REGION:Disordered,REPEAT:TPR,REPEAT:TPR 1,REPEAT:TPR 10,REPEAT:TPR 11,REPEAT:TPR 12,REPEAT:TPR 13,REPEAT:TPR 14,REPEAT:TPR 15,REPEAT:TPR 16,REPEAT:TPR 17,REPEAT:TPR 18,REPEAT:TPR 19,REPEAT:TPR 2,REPEAT:TPR 20,REPEAT:TPR 21,REPEAT:TPR 22,REPEAT:TPR 23,REPEAT:TPR 24,REPEAT:TPR 25,REPEAT:TPR 26,REPEAT:TPR 27,REPEAT:TPR 28,REPEAT:TPR 3,REPEAT:TPR 4,REPEAT:TPR 5,REPEAT:TPR 6,REPEAT:TPR 7,REPEAT:TPR 8,REPEAT:TPR 9,
Q80XJ3	tetratricopeptide repeat domain 28(Ttc28)	Mus musculus	Function unknown,	GO:0007346~regulation of mitotic cell cycle,GO:0051301~cell division,	GO:0005737~cytoplasm,GO:0005813~centrosome,GO:0030496~midbody,GO:0072686~mitotic spindle,GO:0097431~mitotic spindle pole,GO:1990023~mitotic spindle midzone,	GO:0019900~kinase binding,	IPR011990:TPR-like_helical_dom_sf,IPR019734:TPR_repeat,IPR024983:CHAT_dom,IPR052699:Reg/Mitotic_Spindle_Assoc,				SM00028:TPR,	KW-0131~Cell cycle,KW-0132~Cell division,KW-0498~Mitosis,	KW-0206~Cytoskeleton,KW-0963~Cytoplasm,		KW-0175~Coiled coil,KW-0677~Repeat,KW-0802~TPR repeat,			KW-0007~Acetylation,KW-0597~Phosphoprotein,	COMPBIAS:Basic and acidic residues,COMPBIAS:Polar residues,DOMAIN:CHAT,REGION:Disordered,REPEAT:TPR,REPEAT:TPR 1,REPEAT:TPR 10,REPEAT:TPR 11,REPEAT:TPR 12,REPEAT:TPR 13,REPEAT:TPR 14,REPEAT:TPR 15,REPEAT:TPR 16,REPEAT:TPR 17,REPEAT:TPR 18,REPEAT:TPR 19,REPEAT:TPR 2,REPEAT:TPR 20,REPEAT:TPR 21,REPEAT:TPR 22,REPEAT:TPR 23,REPEAT:TPR 24,REPEAT:TPR 25,REPEAT:TPR 26,REPEAT:TPR 27,REPEAT:TPR 28,REPEAT:TPR 3,REPEAT:TPR 4,REPEAT:TPR 5,REPEAT:TPR 6,REPEAT:TPR 7,REPEAT:TPR 8,REPEAT:TPR 9,
E7FAM5	tripartite motif containing 71, E3 ubiquitin protein ligase(trim71)	Danio rerio		GO:0000082~G1/S transition of mitotic cell cycle,GO:0000209~protein polyubiquitination,GO:0007399~nervous system development,GO:0008543~fibroblast growth factor receptor signaling pathway,GO:0010172~embryonic body morphogenesis,GO:0021915~neural tube development,GO:0035278~miRNA-mediated gene silencing by inhibition of translation,GO:0043161~proteasome-mediated ubiquitin-dependent protein catabolic process,GO:0051865~protein autoubiquitination,GO:0072089~stem cell proliferation,GO:2000177~regulation of neural precursor cell proliferation,	GO:0000932~P-body,	GO:0004842~ubiquitin-protein transferase activity,GO:0008270~zinc ion binding,GO:0035198~miRNA binding,GO:0046872~metal ion binding,GO:0061630~ubiquitin protein ligase activity,	IPR000315:Znf_B-box,IPR001258:NHL_repeat,IPR001298:Filamin/ABP280_rpt,IPR001841:Znf_RING,IPR011042:6-blade_b-propeller_TolB-like,IPR013083:Znf_RING/FYVE/PHD,IPR013783:Ig-like_fold,IPR014756:Ig_E-set,IPR017868:Filamin/ABP280_repeat-like,IPR017907:Znf_RING_CS,IPR050952:TRIM-NHL_E3_ligases,				SM00184:RING,SM00336:BBOX,SM00557:IG_FLMN,	KW-0833~Ubl conjugation pathway,KW-0943~RNA-mediated gene silencing,	KW-0963~Cytoplasm,		KW-0175~Coiled coil,KW-0677~Repeat,KW-0863~Zinc-finger,	KW-0479~Metal-binding,KW-0862~Zinc,	KW-0217~Developmental protein,KW-0694~RNA-binding,KW-0808~Transferase,KW-9996~Developmental protein,		DOMAIN:B box-type,DOMAIN:RING-type,REGION:Disordered,REPEAT:Filamin,REPEAT:NHL,REPEAT:NHL 1,REPEAT:NHL 2,REPEAT:NHL 3,REPEAT:NHL 4,REPEAT:NHL 5,REPEAT:NHL 6,ZN_FING:B box-type 1; atypical,ZN_FING:B box-type 2,ZN_FING:RING-type,
