biomin_hit,gene_id,evalue,score,species_id,species,group_id,type,conservation_level,blasted protein in Stylophora,definition,Ref,ACR.139.TP1,ACR.139.TP1.1,ACR.139.TP2,ACR.139.TP2.1,ACR.139.TP3,ACR.139.TP3.1,ACR.139.TP4,ACR.139.TP4.1,ACR.145.TP1,ACR.145.TP1.1,ACR.145.TP2,ACR.145.TP2.1,ACR.145.TP3,ACR.145.TP3.1,ACR.145.TP4,ACR.145.TP4.1,ACR.150.TP1,ACR.150.TP1.1,ACR.150.TP2,ACR.150.TP2.1,ACR.150.TP3,ACR.150.TP3.1,ACR.150.TP4,ACR.150.TP4.1,ACR.173.TP1,ACR.173.TP1.1,ACR.173.TP2,ACR.173.TP2.1,ACR.173.TP3,ACR.173.TP3.1,ACR.173.TP4,ACR.173.TP4.1,ACR.186.TP1,ACR.186.TP1.1,ACR.186.TP2,ACR.186.TP2.1,ACR.186.TP3,ACR.186.TP3.1,ACR.186.TP4,ACR.186.TP4.1,ACR.225.TP1,ACR.225.TP1.1,ACR.225.TP2,ACR.225.TP2.1,ACR.225.TP3,ACR.225.TP3.1,ACR.225.TP4,ACR.225.TP4.1,ACR.229.TP1,ACR.229.TP1.1,ACR.229.TP2,ACR.229.TP2.1,ACR.229.TP3,ACR.229.TP3.1,ACR.229.TP4,ACR.229.TP4.1,ACR.237.TP1,ACR.237.TP1.1,ACR.237.TP2,ACR.237.TP2.1,ACR.237.TP3,ACR.237.TP3.1,ACR.237.TP4,ACR.237.TP4.1,ACR.244.TP1,ACR.244.TP1.1,ACR.244.TP2,ACR.244.TP2.1,ACR.244.TP3,ACR.244.TP3.1,ACR.244.TP4,ACR.244.TP4.1,ACR.265.TP1,ACR.265.TP1.1,ACR.265.TP2,ACR.265.TP2.1,ACR.265.TP3,ACR.265.TP3.1,ACR.265.TP4,ACR.265.TP4.1
PFX13778.1,FUN_019026,0,5117,Apul,Apul,OG_14547,apul_ptua,high,XP_022808646.1,Sacsin [Stylophora pistillata],"Peled et al., 2020",1194,1194,2022,2022,1028,1028,2196,2196,868,868,590,590,430,430,762,762,194,194,832,832,2094,2094,3096,3096,428,428,750,750,738,738,328,328,190,190,1010,1010,394,394,644,644,436,436,1332,1332,1052,1052,330,330,2002,2002,2120,2120,2806,2806,626,626,1422,1422,1138,1138,2304,2304,992,992,470,470,2682,2682,2812,2812,330,330,264,264,768,768,958,958,672,672
PFX14205.1,FUN_028354,9.739999999999999e-118,381,Apul,NA,NA,NA,NA,XP_022808089.1,"Proto-oncogene tyrosine-protein kinase receptor Ret, partial [Stylophora pistillata]","Peled et al., 2020",896,896,662,662,430,430,736,736,2022,2022,746,746,1866,1866,3258,3258,394,394,1412,1412,1896,1896,2010,2010,712,712,1366,1366,1544,1544,476,476,72,72,598,598,476,476,574,574,846,846,1162,1162,1406,1406,570,570,1070,1070,584,584,644,644,294,294,1530,1530,1412,1412,1858,1858,1488,1488,490,490,2176,2176,1762,1762,380,380,1854,1854,3530,3530,2780,2780,1090,1090
PFX15740.1,FUN_032575,4.93e-161,535,Apul,NA,NA,NA,NA,XP_022806058.1,Protein FAM208A [Stylophora pistillata],"Peled et al., 2020",510,510,362,362,174,174,310,310,80,80,180,180,148,148,314,314,312,312,566,566,336,336,286,286,152,152,570,570,174,174,66,66,26,26,292,292,144,144,390,390,144,144,432,432,258,258,78,78,238,238,306,306,434,434,52,52,34,34,242,242,304,304,102,102,58,58,452,452,438,438,60,60,328,328,586,586,372,372,80,80
PFX16398.1,FUN_033619,1.4599999999999998e-45,158,Apul,NA,NA,NA,NA,XP_022805070.1,hypothetical protein AWC38_SpisGene19330 [Stylophora pistillata],"Peled et al., 2020",0,0,0,0,0,0,0,0,26,26,0,0,24,24,56,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,20,20,36,36,40,40,32,32,58,58,42,42,122,122,24,24,14,14,46,46,0,0,0,0,0,0,0,0,40,40,132,132,70,70,24,24,26,26,44,44,18,18,20,20
PFX18785.1,FUN_008088,0,871,Apul,Apul,OG_01981,three_way,low,"XP_022801334.1, XP_022801335.1",Mucin-4 [Stylophora pistillata],"Peled et al., 2020",2480,2480,4490,4490,2108,2108,3274,3274,1824,1824,1154,1154,828,828,818,818,1178,1178,1352,1352,2218,2218,7084,7084,666,666,3074,3074,1962,1962,2768,2768,218,218,2206,2206,616,616,2570,2570,1082,1082,752,752,840,840,710,710,3986,3986,1306,1306,2258,2258,1188,1188,4118,4118,1262,1262,2002,2002,1374,1374,2366,2366,1452,1452,2842,2842,884,884,1140,1140,1026,1026,2170,2170,2070,2070
PFX26597.1,FUN_043242,0,1645,Apul,Apul,OG_10007,three_way,low,XP_022788977.1,Complement C3 [Stylophora pistillata],"Peled et al., 2020",8978,8978,9328,9328,8774,8774,15714,15714,47232,47232,8770,8770,10348,10348,11890,11890,30256,30256,6432,6432,9456,9456,23516,23516,21418,21418,10218,10218,12612,12612,23532,23532,18408,18408,8766,8766,13604,13604,21362,21362,35460,35460,3226,3226,7472,7472,35142,35142,36192,36192,8150,8150,15086,15086,154382,154382,39988,39988,4206,4206,15724,15724,57846,57846,22168,22168,9290,9290,12634,12634,63956,63956,68118,68118,8488,8488,17486,17486,102726,102726
PFX26751.1,FUN_041831,5.76e-83,284,Apul,Apul,OG_15462,apul_ptua,low,XP_022788730.1,Transmembrane protease serine 9 [Stylophora pistillata],"Peled et al., 2020",166,166,238,238,56,56,78,78,194,194,52,52,168,168,0,0,0,0,76,76,286,286,262,262,150,150,270,270,48,48,54,54,0,0,104,104,0,0,160,160,84,84,90,90,74,74,10,10,334,334,74,74,206,206,0,0,128,128,66,66,114,114,0,0,50,50,210,210,344,344,0,0,242,242,60,60,166,166,0,0
PFX27832.1,FUN_045513,2.07e-46,169,Apul,NA,NA,NA,NA,XP_022786864.1,Poly [ADP-ribose] polymerase 11 [Stylophora pistillata],"Peled et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFX30903.1,FUN_043638,2.32e-65,218,Apul,Apul,OG_10205,three_way,low,XP_022781839.1,hypothetical protein AWC38_SpisGene4292 [Stylophora pistillata],"Peled et al., 2020",1866,1866,4990,4990,1780,1780,1834,1834,1440,1440,3136,3136,1088,1088,774,774,1652,1652,5748,5748,2952,2952,3588,3588,398,398,3108,3108,3736,3736,3538,3538,286,286,2820,2820,814,814,2300,2300,740,740,1644,1644,4864,4864,2254,2254,6820,6820,3294,3294,3388,3388,446,446,1414,1414,2520,2520,3952,3952,1806,1806,1552,1552,4152,4152,3864,3864,1014,1014,488,488,948,948,722,722,2492,2492
XP_022783323.1,FUN_012010,3.8799999999999995e-37,131,Apul,Apul,OG_14257,apul_ptua,low,XP_022783323.1,phosphopantothenoylcysteine decarboxylase subunit VHS3-like [Stylophora pistillata],"Peled et al., 2020",78,78,124,124,238,238,86,86,158,158,42,42,56,56,62,62,54,54,32,32,130,130,42,42,38,38,46,46,32,32,80,80,134,134,84,84,30,30,26,26,142,142,194,194,116,116,14,14,82,82,52,52,44,44,0,0,140,140,90,90,56,56,18,18,56,56,276,276,354,354,72,72,80,80,158,158,170,170,0,0
XP_022786582.1,FUN_024804,0,706,Apul,Apul,OG_05568,three_way,high,XP_022786582.1,synapsin-2-like isoform X2 [Stylophora pistillata],"Peled et al., 2020",684,684,616,616,680,680,1012,1012,1012,1012,520,520,502,502,454,454,500,500,386,386,612,612,1256,1256,620,620,460,460,468,468,588,588,454,454,660,660,200,200,694,694,696,696,400,400,644,644,376,376,882,882,462,462,488,488,414,414,700,700,588,588,456,456,686,686,352,352,488,488,622,622,172,172,818,818,402,402,446,446,592,592
XP_022804012.1,FUN_022170,0,966,Apul,Apul,OG_04547,three_way,low,XP_022804012.1,EGF and laminin G domain-containing protein-like [Stylophora pistillata],"Peled et al., 2020",2672,2672,2982,2982,1174,1174,1820,1820,864,864,1196,1196,234,234,394,394,210,210,1402,1402,1954,1954,2176,2176,430,430,2282,2282,586,586,378,378,220,220,570,570,108,108,614,614,230,230,428,428,1604,1604,372,372,910,910,852,852,1378,1378,308,308,314,314,920,920,2364,2364,498,498,250,250,1448,1448,2954,2954,372,372,546,546,956,956,966,966,368,368
XP_022779720.1,FUN_004094,0,1809,Apul,Apul,OG_00843,three_way,low,XP_022779720.1,vitellogenin-like [Stylophora pistillata],"Peled et al., 2020",26008,26008,23124,23124,44312,44312,22490,22490,82606,82606,8404,8404,10670,10670,6822,6822,27084,27084,10618,10618,12588,12588,25954,25954,15654,15654,37384,37384,24986,24986,30004,30004,32006,32006,11866,11866,15218,15218,50234,50234,54352,54352,6632,6632,22296,22296,20416,20416,182414,182414,30556,30556,42362,42362,8500,8500,28354,28354,10196,10196,31774,31774,39168,39168,23746,23746,10126,10126,24132,24132,6886,6886,13560,13560,7274,7274,4396,4396,19592,19592
XP_022780303.1,FUN_038277,0,23696,Apul,Apul,OG_08878,three_way,medium,XP_022780303.1,LOW QUALITY PROTEIN: uncharacterized protein LOC111321626 [Stylophora pistillata],"Peled et al., 2020",3410,3410,2562,2562,2848,2848,4350,4350,4686,4686,1420,1420,2976,2976,3534,3534,768,768,3034,3034,3940,3940,1888,1888,2476,2476,6370,6370,5284,5284,1722,1722,528,528,754,754,1024,1024,4510,4510,2294,2294,6756,6756,8646,8646,3124,3124,5290,5290,6056,6056,7556,7556,2520,2520,1796,1796,3412,3412,3032,3032,2534,2534,1410,1410,7686,7686,9484,9484,1934,1934,2842,2842,5500,5500,3688,3688,1376,1376
XP_022780690.1,FUN_033732,2.11e-104,314,Apul,Apul,OG_07331,three_way,low,XP_022780690.1,skeletal aspartic acid-rich protein 2-like (CARP5),"Peled et al., 2020",180,180,310,310,924,924,1058,1058,236,236,132,132,62,62,36,36,324,324,164,164,332,332,514,514,190,190,380,380,362,362,1674,1674,290,290,680,680,364,364,1048,1048,458,458,234,234,334,334,864,864,1170,1170,186,186,454,454,632,632,1534,1534,216,216,318,318,852,852,574,574,240,240,584,584,518,518,396,396,104,104,310,310,944,944
XP_022780694.1,FUN_022386,9.559999999999998e-106,312,Apul,NA,NA,NA,NA,XP_022780694.1,CUB and peptidase domain-containing protein 2-like [Stylophora pistillata],"Peled et al., 2020",736,736,870,870,3994,3994,1738,1738,8010,8010,450,450,1330,1330,190,190,1190,1190,282,282,2696,2696,3726,3726,1878,1878,870,870,2062,2062,2094,2094,904,904,280,280,362,362,722,722,3256,3256,696,696,640,640,1168,1168,1760,1760,496,496,2570,2570,2162,2162,3078,3078,650,650,752,752,1634,1634,2084,2084,650,650,1042,1042,806,806,11480,11480,616,616,1154,1154,972,972
XP_022782398.1,FUN_033818,6.14e-88,270,Apul,Apul,OG_07389,three_way,low,XP_022782398.1,skeletal aspartic acid-rich protein 1-like (CARP4),"Peled et al., 2020",1928,1928,4668,4668,1486,1486,1478,1478,754,754,1582,1582,898,898,478,478,712,712,1476,1476,2238,2238,3716,3716,366,366,2838,2838,3068,3068,2350,2350,0,0,3872,3872,784,784,1626,1626,942,942,1518,1518,900,900,566,566,1694,1694,2206,2206,1526,1526,742,742,2224,2224,1258,1258,2266,2266,1036,1036,1304,1304,1310,1310,3252,3252,812,812,402,402,1828,1828,3136,3136,1402,1402
XP_022783044.1,FUN_029756,6.249999999999999e-132,398,Apul,Apul,OG_06607,three_way,low,XP_022783044.1,uncharacterized protein LOC111323869 [Stylophora pistillata],"Peled et al., 2020",1126,1126,1338,1338,1504,1504,1394,1394,1446,1446,756,756,624,624,838,838,466,466,1080,1080,1412,1412,2248,2248,478,478,1090,1090,1512,1512,806,806,298,298,1150,1150,690,690,1546,1546,896,896,796,796,1186,1186,472,472,2292,2292,966,966,1142,1142,196,196,1096,1096,710,710,1280,1280,1022,1022,720,720,864,864,1342,1342,474,474,718,718,962,962,866,866,946,946
XP_022783415.1,FUN_002672,0,931,Apul,Apul,OG_10523,apul_peve,low,XP_022783415.1,coadhesin-like isoform X3 [Stylophora pistillata],"Peled et al., 2020",9236,9236,6634,6634,3806,3806,5982,5982,4098,4098,4762,4762,1068,1068,2656,2656,2320,2320,6468,6468,3704,3704,8236,8236,1234,1234,12692,12692,3276,3276,4072,4072,1632,1632,3234,3234,680,680,8070,8070,514,514,3398,3398,3050,3050,1410,1410,4060,4060,2104,2104,1920,1920,350,350,2704,2704,2478,2478,6006,6006,1072,1072,748,748,3556,3556,4966,4966,442,442,1252,1252,2132,2132,2598,2598,1500,1500
XP_022783952.1,FUN_013132,3.77e-91,274,Apul,Apul,OG_11291,apul_peve,low,XP_022783952.1,collagenase 3-like [Stylophora pistillata],"Peled et al., 2020",42,42,122,122,90,90,12,12,32,32,72,72,0,0,0,0,34,34,68,68,44,44,0,0,46,46,48,48,98,98,48,48,20,20,62,62,0,0,54,54,0,0,60,60,24,24,12,12,0,0,16,16,26,26,0,0,0,0,96,96,56,56,0,0,14,14,32,32,58,58,0,0,0,0,30,30,54,54,72,72
XP_022784623.1,FUN_023641,0,1379,Apul,Apul,OG_05228,three_way,low,XP_022784623.1,cation channel sperm-associated protein subunit beta-like [Stylophora pistillata],"Peled et al., 2020",0,0,10,10,18,18,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,6,6,18,18,10,10,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0
XP_022786918.1,FUN_040037,0,1095,Apul,Apul,OG_09247,three_way,low,XP_022786918.1,major yolk protein-like isoform X2 [Stylophora pistillata],"Peled et al., 2020",24578,24578,18018,18018,16466,16466,34948,34948,38364,38364,21150,21150,9300,9300,11890,11890,12900,12900,19766,19766,23832,23832,23252,23252,15232,15232,23462,23462,10520,10520,11474,11474,7138,7138,14074,14074,9234,9234,19918,19918,13410,13410,4672,4672,14264,14264,18686,18686,24000,24000,8904,8904,18652,18652,8458,8458,16126,16126,11312,11312,33606,33606,13570,13570,22252,22252,25618,25618,32074,32074,34160,34160,23758,23758,12036,12036,22492,22492,26522,26522
XP_022788227.1,FUN_024614,0,1704,Apul,Apul,OG_05514,three_way,medium,XP_022788227.1,hephaestin-like protein [Stylophora pistillata],"Peled et al., 2020",2864,2864,3046,3046,1786,1786,2734,2734,1102,1102,824,824,500,500,770,770,572,572,1112,1112,2346,2346,3364,3364,716,716,1596,1596,748,748,470,470,138,138,1058,1058,310,310,1956,1956,734,734,1274,1274,1706,1706,434,434,3090,3090,1326,1326,1554,1554,472,472,840,840,902,902,2082,2082,570,570,252,252,1686,1686,1788,1788,190,190,272,272,1364,1364,908,908,410,410
XP_022788730.1,FUN_013138,1.7499999999999998e-69,218,Apul,Apul,OG_03269,three_way,high,XP_022788730.1,chymotrypsin-like elastase family member 1 [Stylophora pistillata],"Peled et al., 2020",1102,1102,816,816,3294,3294,3916,3916,7500,7500,786,786,526,526,298,298,2466,2466,686,686,1742,1742,3388,3388,3322,3322,1506,1506,1790,1790,3756,3756,1544,1544,414,414,196,196,1246,1246,18940,18940,190,190,1132,1132,5454,5454,6022,6022,326,326,4576,4576,5766,5766,3104,3104,318,318,814,814,4646,4646,5122,5122,810,810,2260,2260,2790,2790,11590,11590,132,132,668,668,4134,4134
XP_022789591.1,FUN_013421,0,833,Apul,Apul,OG_03330,three_way,low,XP_022789591.1,endothelin-converting enzyme 1-like isoform X2 [Stylophora pistillata],"Peled et al., 2020",2002,2002,2266,2266,3410,3410,3020,3020,2798,2798,2364,2364,3246,3246,4246,4246,2542,2542,3364,3364,3422,3422,2436,2436,2638,2638,2788,2788,4622,4622,2190,2190,1346,1346,1922,1922,2106,2106,4270,4270,2610,2610,2510,2510,5370,5370,2576,2576,4104,4104,2370,2370,3664,3664,2000,2000,2672,2672,2398,2398,3012,3012,3064,3064,1774,1774,3294,3294,5394,5394,2160,2160,6276,6276,3202,3202,3514,3514,2468,2468
XP_022789932.1,FUN_031467,4.82e-83,286,Apul,Apul,OG_06717,three_way,medium,XP_022789932.1,MAGUK p55 subfamily member 7-like [Stylophora pistillata],"Peled et al., 2020",2462,2462,3088,3088,1536,1536,1372,1372,1248,1248,1050,1050,400,400,628,628,1498,1498,1980,1980,1894,1894,1650,1650,594,594,1944,1944,830,830,948,948,922,922,1028,1028,368,368,1020,1020,438,438,944,944,1188,1188,666,666,1542,1542,1546,1546,1506,1506,772,772,778,778,736,736,1966,1966,962,962,958,958,1884,1884,2672,2672,416,416,1156,1156,1170,1170,1030,1030,1286,1286
XP_022790441.1,FUN_034050,0,577,Apul,Apul,OG_07508,three_way,medium,XP_022790441.1,PHD finger protein 21A-like [Stylophora pistillata],"Peled et al., 2020",1824,1824,3034,3034,3338,3338,2372,2372,1230,1230,1490,1490,3170,3170,2462,2462,580,580,1678,1678,2714,2714,1116,1116,706,706,1312,1312,2796,2796,656,656,544,544,3870,3870,2594,2594,3126,3126,1392,1392,2474,2474,2804,2804,992,992,1994,1994,3824,3824,3234,3234,704,704,1018,1018,2196,2196,2246,2246,2666,2666,1386,1386,3354,3354,3444,3444,1570,1570,1744,1744,4942,4942,2342,2342,1144,1144
XP_022792212.1,FUN_029123,8.3e-41,137,Apul,Apul,OG_06430,three_way,high,XP_022792212.1,ras-like protein 3 [Stylophora pistillata],"Peled et al., 2020",3738,3738,6094,6094,3072,3072,2416,2416,1346,1346,2450,2450,880,880,1000,1000,2076,2076,3116,3116,3522,3522,2806,2806,1446,1446,2340,2340,1584,1584,1374,1374,2624,2624,3304,3304,764,764,2474,2474,448,448,1160,1160,1850,1850,870,870,2232,2232,3024,3024,2278,2278,1224,1224,1558,1558,1434,1434,3574,3574,1304,1304,642,642,1368,1368,2788,2788,788,788,386,386,1958,1958,1678,1678,1988,1988
XP_022794122.1,FUN_022535,1.4e-44,152,Apul,NA,NA,NA,NA,XP_022794122.1,galaxin-like isoform X2 [Stylophora pistillata],"Peled et al., 2020",6854,6854,14500,14500,7276,7276,5300,5300,10894,10894,3630,3630,10050,10050,7600,7600,4076,4076,5678,5678,3064,3064,5076,5076,4198,4198,6996,6996,13644,13644,12082,12082,1494,1494,2440,2440,3248,3248,2796,2796,3854,3854,3012,3012,5134,5134,5484,5484,6996,6996,4642,4642,2856,2856,2646,2646,5364,5364,2920,2920,4350,4350,5386,5386,6132,6132,3944,3944,5918,5918,5496,5496,5594,5594,4980,4980,6058,6058,16046,16046
XP_022794351.1,FUN_008314,1.1900000000000001e-63,197,Apul,Apul,OG_02088,three_way,low,XP_022794351.1,mammalian ependymin-related protein 1-like [Stylophora pistillata],"Peled et al., 2020",23566,23566,27536,27536,46470,46470,34870,34870,97044,97044,9050,9050,29814,29814,13700,13700,40540,40540,20518,20518,28486,28486,52080,52080,31254,31254,15362,15362,37698,37698,28420,28420,14054,14054,25588,25588,26954,26954,37920,37920,65514,65514,13962,13962,22038,22038,49076,49076,82392,82392,18626,18626,33980,33980,73970,73970,89120,89120,9528,9528,28126,28126,59086,59086,50040,50040,15294,15294,46804,46804,54478,54478,101818,101818,23474,23474,31780,31780,59624,59624
XP_022794736.1,FUN_037812,0,11076,Apul,Apul,OG_08639,three_way,medium,XP_022794736.1,MAM and LDL-receptor class A domain-containing protein 2-like [Stylophora pistillata],"Peled et al., 2020",21846,21846,24528,24528,8966,8966,12508,12508,8392,8392,22646,22646,2514,2514,2618,2618,1296,1296,7114,7114,15616,15616,17310,17310,2470,2470,23290,23290,6204,6204,3292,3292,2442,2442,19584,19584,3534,3534,11756,11756,6120,6120,6010,6010,6396,6396,3650,3650,17436,17436,9816,9816,17700,17700,4328,4328,7364,7364,6060,6060,18602,18602,5460,5460,4298,4298,14024,14024,24896,24896,8790,8790,6652,6652,4358,4358,9336,9336,4232,4232
XP_022798902.1,FUN_001185,0,898,Apul,Apul,OG_00355,three_way,low,XP_022798902.1,low-density lipoprotein receptor-related protein 8-like [Stylophora pistillata],"Peled et al., 2020",2128,2128,1088,1088,550,550,1030,1030,206,206,402,402,78,78,362,362,486,486,632,632,990,990,522,522,242,242,1118,1118,182,182,198,198,518,518,780,780,48,48,1214,1214,86,86,758,758,1138,1138,150,150,658,658,424,424,516,516,174,174,304,304,596,596,1280,1280,216,216,114,114,1270,1270,1396,1396,54,54,112,112,536,536,392,392,352,352
XP_022799541.1,FUN_004816,0,3289,Apul,Apul,OG_01177,three_way,low,XP_022799541.1,uncharacterized protein LOC111337489 [Stylophora pistillata],"Peled et al., 2020",1394,1394,1088,1088,2698,2698,1138,1138,1828,1828,660,660,504,504,508,508,1694,1694,620,620,790,790,1114,1114,420,420,922,922,718,718,644,644,960,960,820,820,342,342,850,850,448,448,646,646,732,732,306,306,1612,1612,398,398,664,664,300,300,1048,1048,426,426,1452,1452,872,872,326,326,732,732,968,968,178,178,644,644,506,506,684,684,550,550
XP_022803524.1,FUN_015350,0,759,Apul,Apul,OG_03857,three_way,medium,XP_022803524.1,digestive cysteine proteinase 1-like [Stylophora pistillata],"Peled et al., 2020",42,42,146,146,20,20,54,54,34,34,60,60,48,48,116,116,70,70,250,250,52,52,200,200,170,170,128,128,152,152,40,40,0,0,26,26,24,24,124,124,186,186,100,100,134,134,34,34,116,116,144,144,116,116,66,66,0,0,134,134,102,102,46,46,54,54,108,108,126,126,16,16,0,0,90,90,106,106,0,0
XP_022803808.1,FUN_009861,1.43e-81,262,Apul,Apul,OG_14189,apul_ptua,low,XP_022803808.1,deleted in malignant brain tumors 1 protein-like [Stylophora pistillata],"Peled et al., 2020",240,240,498,498,68,68,138,138,380,380,242,242,26,26,36,36,90,90,198,198,386,386,344,344,48,48,200,200,100,100,38,38,0,0,128,128,50,50,118,118,94,94,38,38,108,108,70,70,172,172,190,190,256,256,80,80,38,38,156,156,696,696,160,160,58,58,146,146,382,382,106,106,52,52,80,80,220,220,84,84
XP_022803894.1,FUN_025266,5.51e-83,263,Apul,Apul,OG_05606,three_way,high,XP_022803894.1,uncharacterized protein LOC111341206 [Stylophora pistillata],"Peled et al., 2020",544,544,994,994,518,518,368,368,244,244,528,528,172,172,132,132,622,622,846,846,914,914,336,336,262,262,550,550,340,340,180,180,354,354,1234,1234,270,270,516,516,124,124,586,586,906,906,164,164,468,468,478,478,980,980,232,232,158,158,318,318,1340,1340,408,408,128,128,290,290,1008,1008,198,198,134,134,214,214,288,288,292,292
XP_022804785.1,FUN_008544,4.17e-52,172,Apul,Apul,OG_02190,three_way,high,XP_022804785.1,"thioredoxin reductase 1, cytoplasmic-like [Stylophora pistillata]","Peled et al., 2020",4708,4708,7470,7470,11936,11936,3466,3466,3590,3590,3082,3082,4792,4792,1496,1496,1864,1864,5100,5100,14522,14522,6114,6114,2490,2490,5840,5840,8192,8192,2546,2546,2230,2230,4624,4624,4736,4736,4978,4978,1906,1906,2782,2782,16352,16352,4890,4890,5306,5306,3366,3366,12394,12394,4310,4310,3376,3376,3906,3906,13900,13900,6680,6680,1922,1922,4732,4732,16580,16580,3182,3182,1814,1814,2864,2864,8696,8696,5276,5276
XP_022806326.1,FUN_008908,3.8299999999999995e-162,461,Apul,Apul,OG_02317,three_way,medium,XP_022806326.1,ZP domain-containing protein-like [Stylophora pistillata],"Peled et al., 2020",16360,16360,26064,26064,16264,16264,11220,11220,12824,12824,13566,13566,6648,6648,7006,7006,24254,24254,23656,23656,12596,12596,6888,6888,11336,11336,18956,18956,18582,18582,10962,10962,14154,14154,11554,11554,4920,4920,11710,11710,5958,5958,5292,5292,20716,20716,5102,5102,16338,16338,15634,15634,15574,15574,3612,3612,3742,3742,8914,8914,18024,18024,8230,8230,7626,7626,12756,12756,19010,19010,2310,2310,1788,1788,8432,8432,7812,7812,8490,8490
XP_022806664.1,FUN_035913,0,1253,Apul,Apul,OG_08144,three_way,low,XP_022806664.1,protein lingerer-like [Stylophora pistillata],"Peled et al., 2020",230,230,414,414,48,48,242,242,44,44,180,180,270,270,328,328,126,126,626,626,166,166,554,554,98,98,396,396,444,444,114,114,0,0,218,218,26,26,324,324,138,138,50,50,200,200,60,60,246,246,260,260,132,132,0,0,74,74,92,92,258,258,146,146,74,74,198,198,134,134,28,28,0,0,426,426,142,142,66,66
XP_022806928.1,FUN_008537,0,1350,Apul,Apul,OG_02184,three_way,medium,XP_022806928.1,SLIT-ROBO Rho GTPase-activating protein 1-like [Stylophora pistillata],"Peled et al., 2020",2488,2488,3532,3532,2172,2172,4350,4350,2158,2158,1420,1420,1594,1594,2002,2002,2284,2284,2708,2708,2984,2984,3954,3954,1774,1774,2074,2074,1536,1536,1614,1614,976,976,2204,2204,1066,1066,4070,4070,1728,1728,1348,1348,3286,3286,1072,1072,4254,4254,1700,1700,3218,3218,1374,1374,2656,2656,1580,1580,3164,3164,2270,2270,1686,1686,2154,2154,3850,3850,1210,1210,1166,1166,2258,2258,2526,2526,2524,2524
XP_022807143.1,FUN_037097,0,1524,Apul,Apul,OG_08432,three_way,medium,XP_022807143.1,condensin-2 complex subunit D3-like [Stylophora pistillata],"Peled et al., 2020",1152,1152,778,778,792,792,822,822,882,882,262,262,622,622,494,494,248,248,630,630,966,966,712,712,620,620,590,590,1102,1102,552,552,142,142,542,542,548,548,694,694,1154,1154,2012,2012,1908,1908,1260,1260,1732,1732,1178,1178,1034,1034,452,452,586,586,710,710,626,626,606,606,686,686,1606,1606,1292,1292,424,424,442,442,914,914,644,644,512,512
XP_022807256.1,FUN_045369,0,979,Apul,Apul,OG_13702,apul_peve,low,XP_022807256.1,uncharacterized protein LOC111344300 [Stylophora pistillata],"Peled et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
XP_022807807.1,FUN_010559,0,808,Apul,Apul,OG_11074,apul_peve,low,XP_022807807.1,uncharacterized protein LOC111344812 [Stylophora pistillata],"Peled et al., 2020",2094,2094,1528,1528,622,622,1316,1316,156,156,102,102,38,38,16,16,74,74,174,174,546,546,290,290,736,736,2162,2162,862,862,454,454,32,32,202,202,50,50,126,126,80,80,116,116,362,362,46,46,988,988,1016,1016,1120,1120,410,410,94,94,246,246,382,382,106,106,38,38,214,214,474,474,118,118,66,66,208,208,142,142,102,102
XP_022808163.1,FUN_032684,2.53e-98,284,Apul,Apul,OG_12616,apul_peve,medium,XP_022808163.1,uncharacterized protein LOC111345150 [Stylophora pistillata],"Peled et al., 2020",68,68,16,16,84,84,46,46,296,296,0,0,0,0,0,0,0,0,36,36,24,24,66,66,26,26,24,24,38,38,14,14,52,52,18,18,0,0,20,20,26,26,0,0,0,0,14,14,86,86,6,6,58,58,32,32,70,70,0,0,0,0,0,0,82,82,30,30,32,32,24,24,562,562,0,0,74,74,108,108
