"","mirna","X4","interaction","X","miRNA","mRNA","PCC.cor","p_value","adjusted_p_value","Source","Significance","V1","V3","Protein.names","Organism","Gene.Ontology..biological.process.","Gene.Ontology.IDs"
"18730","Cluster_17173","FUN_033942","Cluster_17173 _ FUN_033942",1091345,"Cluster_17173","FUN_033942",-0.600415585776121,4.20884569071908e-05,0.0120002064147158,"mRNA","p < 0.05","ptg000024l:2940923-2965231","P25291","Pancreatic secretory granule membrane major glycoprotein GP2 (Pancreatic zymogen granule membrane protein GP-2) (ZAP75)","Canis lupus familiaris (Dog) (Canis familiaris)","antigen transcytosis by M cells in mucosal-associated lymphoid tissue [GO:0002412]; innate immune response [GO:0045087]; neutrophil migration [GO:1990266]","GO:0002412; GO:0005201; GO:0005615; GO:0005768; GO:0009897; GO:0009986; GO:0016324; GO:0042589; GO:0045087; GO:0045121; GO:1990266"
"18733","Cluster_17173","FUN_033968","Cluster_17173 _ FUN_033968",1092722,"Cluster_17173","FUN_033968",-0.589612524382581,6.24248779763721e-05,0.0148518567925698,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"18735","Cluster_17173","FUN_033690","Cluster_17173 _ FUN_033690",1080023,"Cluster_17173","FUN_033690",-0.500656274544348,0.00100119592359671,0.0684582497219929,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"18741","Cluster_17173","FUN_034067","Cluster_17173 _ FUN_034067",1097414,"Cluster_17173","FUN_034067",-0.521463152795925,0.000559577313418515,0.0500079133091217,"mRNA","p < 0.05","ptg000024l:4478202-4502973","B5DF45","TNF receptor-associated factor 6 (EC 2.3.2.27) (E3 ubiquitin-protein ligase TRAF6) (RING-type E3 ubiquitin transferase TRAF6)","Rattus norvegicus (Rat)","activation of NF-kappaB-inducing kinase activity [GO:0007250]; activation of protein kinase activity [GO:0032147]; animal organ morphogenesis [GO:0009887]; antigen processing and presentation of exogenous peptide antigen via MHC class II [GO:0019886]; bone remodeling [GO:0046849]; bone resorption [GO:0045453]; cell development [GO:0048468]; cellular response to cytokine stimulus [GO:0071345]; cellular response to DNA damage stimulus [GO:0006974]; cellular response to lipopolysaccharide [GO:0071222]; cytokine-mediated signaling pathway [GO:0019221]; I-kappaB kinase/NF-kappaB signaling [GO:0007249]; immune response [GO:0006955]; in utero embryonic development [GO:0001701]; interleukin-1-mediated signaling pathway [GO:0070498]; interleukin-17-mediated signaling pathway [GO:0097400]; JNK cascade [GO:0007254]; myeloid dendritic cell differentiation [GO:0043011]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of transcription by RNA polymerase II [GO:0000122]; neural tube closure [GO:0001843]; odontogenesis of dentin-containing tooth [GO:0042475]; ossification [GO:0001503]; osteoclast differentiation [GO:0030316]; positive regulation of DNA-binding transcription factor activity [GO:0051091]; positive regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043123]; positive regulation of interleukin-12 production [GO:0032735]; positive regulation of interleukin-2 production [GO:0032743]; positive regulation of interleukin-6 production [GO:0032755]; positive regulation of JNK cascade [GO:0046330]; positive regulation of JUN kinase activity [GO:0043507]; positive regulation of leukocyte adhesion to vascular endothelial cell [GO:1904996]; positive regulation of lipopolysaccharide-mediated signaling pathway [GO:0031666]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of NIK/NF-kappaB signaling [GO:1901224]; positive regulation of osteoclast differentiation [GO:0045672]; positive regulation of smooth muscle cell proliferation [GO:0048661]; positive regulation of T cell cytokine production [GO:0002726]; positive regulation of T cell proliferation [GO:0042102]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription regulatory region DNA binding [GO:2000679]; protein autoubiquitination [GO:0051865]; protein K63-linked ubiquitination [GO:0070534]; protein polyubiquitination [GO:0000209]; protein ubiquitination [GO:0016567]; regulation of apoptotic process [GO:0042981]; regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043122]; regulation of immunoglobulin production [GO:0002637]; response to interleukin-1 [GO:0070555]; response to ischemia [GO:0002931]; signal transduction [GO:0007165]; T cell receptor signaling pathway [GO:0050852]; T-helper 1 type immune response [GO:0042088]; tumor necrosis factor-mediated signaling pathway [GO:0033209]","GO:0000122; GO:0000209; GO:0001503; GO:0001701; GO:0001843; GO:0002637; GO:0002726; GO:0002931; GO:0004842; GO:0005164; GO:0005634; GO:0005737; GO:0005811; GO:0005829; GO:0005886; GO:0005938; GO:0006955; GO:0006974; GO:0007165; GO:0007249; GO:0007250; GO:0007254; GO:0008270; GO:0009887; GO:0009898; GO:0016567; GO:0019221; GO:0019886; GO:0019901; GO:0030316; GO:0031435; GO:0031624; GO:0031625; GO:0031666; GO:0031996; GO:0032147; GO:0032735; GO:0032743; GO:0032755; GO:0032813; GO:0032991; GO:0033209; GO:0035631; GO:0042088; GO:0042102; GO:0042475; GO:0042802; GO:0042826; GO:0042981; GO:0043011; GO:0043122; GO:0043123; GO:0043422; GO:0043507; GO:0045453; GO:0045672; GO:0045892; GO:0045944; GO:0046330; GO:0046849; GO:0047485; GO:0048468; GO:0048471; GO:0048661; GO:0050852; GO:0051091; GO:0051092; GO:0051865; GO:0061630; GO:0070498; GO:0070534; GO:0070555; GO:0071222; GO:0071345; GO:0097400; GO:1901224; GO:1904996; GO:2000679"
"18744","Cluster_17173","FUN_034088","Cluster_17173 _ FUN_034088",1096802,"Cluster_17173","FUN_034088",-0.501198879306941,0.000986578163444969,0.067915904317327,"mRNA","p < 0.05","ptg000024l:4712778-4720981","Q9DDA9","Protein kinase C and casein kinase substrate in neurons protein 2 (x-PACSIN2)","Xenopus laevis (African clawed frog)","actin cytoskeleton organization [GO:0030036]; caveola assembly [GO:0070836]; endocytosis [GO:0006897]; plasma membrane tubulation [GO:0097320]","GO:0005769; GO:0005856; GO:0005901; GO:0006897; GO:0030036; GO:0032587; GO:0055038; GO:0070300; GO:0070836; GO:0097320"
"18749","Cluster_17173","FUN_034096","Cluster_17173 _ FUN_034096",1098332,"Cluster_17173","FUN_034096",-0.522221005143458,0.000547457314347601,0.0494014295571754,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"18754","Cluster_17173","FUN_034135","Cluster_17173 _ FUN_034135",1101035,"Cluster_17173","FUN_034135",-0.535401034117763,0.000370981423394025,0.0400856769361312,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"18755","Cluster_17173","FUN_034144","Cluster_17173 _ FUN_034144",1101443,"Cluster_17173","FUN_034144",-0.576658843851231,9.83443504068059e-05,0.0191754074924264,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"18758","Cluster_17173","FUN_034158","Cluster_17173 _ FUN_034158",1102055,"Cluster_17173","FUN_034158",-0.62064829003833,1.93329835068155e-05,0.00763368847140712,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"18759","Cluster_17173","FUN_034159","Cluster_17173 _ FUN_034159",1102106,"Cluster_17173","FUN_034159",-0.506277352441329,0.000858686514752848,0.0630185487841813,"mRNA","p < 0.05","ptg000024l:5551459-5568374","Q8CFE4","SCY1-like protein 2 (Coated vesicle-associated kinase of 104 kDa)","Mus musculus (Mouse)","brain development [GO:0007420]; endosome to lysosome transport [GO:0008333]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; positive regulation of clathrin-dependent endocytosis [GO:2000370]; positive regulation of receptor internalization [GO:0002092]; protein phosphorylation [GO:0006468]; pyramidal neuron development [GO:0021860]; receptor internalization involved in canonical Wnt signaling pathway [GO:2000286]","GO:0002092; GO:0004672; GO:0005102; GO:0005524; GO:0005794; GO:0006468; GO:0007420; GO:0008333; GO:0010008; GO:0021860; GO:0030136; GO:0090090; GO:2000286; GO:2000370"
"18764","Cluster_17173","FUN_034229","Cluster_17173 _ FUN_034229",1104350,"Cluster_17173","FUN_034229",-0.609219488960707,3.0199323405811e-05,0.00988056712157286,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"18766","Cluster_17173","FUN_034260","Cluster_17173 _ FUN_034260",1105523,"Cluster_17173","FUN_034260",-0.51696789712021,0.000636524783394726,0.0536343742760139,"mRNA","p < 0.05","ptg000024l:6755812-6774933","Q9WUM7","Homeodomain-interacting protein kinase 2 (EC 2.7.11.1) (Mx-interacting protein kinase) (PKM)","Mesocricetus auratus (Golden hamster)","apoptotic process [GO:0006915]; cellular response to DNA damage stimulus [GO:0006974]; peptidyl-serine phosphorylation [GO:0018105]","GO:0004674; GO:0005524; GO:0005634; GO:0005737; GO:0006915; GO:0006974; GO:0010494; GO:0016604; GO:0016605; GO:0018105; GO:0106310"
"18774","Cluster_17173","FUN_034312","Cluster_17173 _ FUN_034312",1107716,"Cluster_17173","FUN_034312",-0.576773365607873,9.79581633886943e-05,0.0191398160753411,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"18782","Cluster_17173","FUN_034359","Cluster_17173 _ FUN_034359",1109042,"Cluster_17173","FUN_034359",-0.604637281970068,3.59389677573157e-05,0.0109235121784865,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"18783","Cluster_17173","FUN_034383","Cluster_17173 _ FUN_034383",1110470,"Cluster_17173","FUN_034383",-0.506960025430898,0.000842670999840283,0.0624071669757711,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"18791","Cluster_17173","FUN_034481","Cluster_17173 _ FUN_034481",1113530,"Cluster_17173","FUN_034481",-0.504378270673896,0.000904672629145513,0.0647614796257817,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"18792","Cluster_17173","FUN_035629","Cluster_17173 _ FUN_035629",1156880,"Cluster_17173","FUN_035629",-0.523535858405053,0.000526984964772544,0.0484264504896171,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"18797","Cluster_17173","FUN_035663","Cluster_17173 _ FUN_035663",1158563,"Cluster_17173","FUN_035663",-0.543069804628956,0.000293621906230194,0.0352675802121353,"mRNA","p < 0.05","ptg000025l:10445177-10454878","O54972","Protein CBFA2T3 (Eight twenty one protein 2) (MTG8-related protein 2) (Protein ETO-2)","Mus musculus (Mouse)","granulocyte differentiation [GO:0030851]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of glycolytic process [GO:0045820]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; regulation of aerobic respiration [GO:1903715]; response to hypoxia [GO:0001666]","GO:0000122; GO:0000139; GO:0001666; GO:0003682; GO:0003714; GO:0005634; GO:0005654; GO:0005730; GO:0008285; GO:0030851; GO:0032436; GO:0045820; GO:0045892; GO:0046872; GO:1903715"
"18798","Cluster_17173","FUN_035677","Cluster_17173 _ FUN_035677",1159277,"Cluster_17173","FUN_035677",-0.531861991380083,0.000412487126134038,0.0424176057800847,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"18801","Cluster_17173","FUN_035689","Cluster_17173 _ FUN_035689",1159838,"Cluster_17173","FUN_035689",-0.586684993188278,6.92953964315552e-05,0.0157531150785072,"mRNA","p < 0.05","ptg000025l:10671116-10677231","Q99L88","Beta-1-syntrophin (59 kDa dystrophin-associated protein A1 basic component 1) (DAPA1B) (Syntrophin-2)","Mus musculus (Mouse)","","GO:0003779; GO:0005198; GO:0005516; GO:0005737; GO:0005856; GO:0016010; GO:0030165; GO:0032991; GO:0042383; GO:0045202; GO:0070161"
"18803","Cluster_17173","FUN_035718","Cluster_17173 _ FUN_035718",1161266,"Cluster_17173","FUN_035718",-0.572325566793761,0.000114009825510355,0.0208559709337711,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"18807","Cluster_17173","FUN_035752","Cluster_17173 _ FUN_035752",1162439,"Cluster_17173","FUN_035752",-0.566173289384082,0.000140136846175207,0.0234222528826741,"mRNA","p < 0.05","ptg000025l:11320585-11337482","P28749","Retinoblastoma-like protein 1 (107 kDa retinoblastoma-associated protein) (p107) (pRb1)","Homo sapiens (Human)","cell cycle [GO:0007049]; cell differentiation [GO:0030154]; chromatin organization [GO:0006325]; negative regulation of cellular senescence [GO:2000773]; negative regulation of G1/S transition of mitotic cell cycle [GO:2000134]; negative regulation of gene expression [GO:0010629]; negative regulation of transcription by RNA polymerase II [GO:0000122]; regulation of lipid kinase activity [GO:0043550]","GO:0000122; GO:0000785; GO:0000977; GO:0005654; GO:0005667; GO:0006325; GO:0007049; GO:0010629; GO:0030154; GO:0043550; GO:1990841; GO:2000134; GO:2000773"
"18816","Cluster_17173","FUN_035810","Cluster_17173 _ FUN_035810",1165448,"Cluster_17173","FUN_035810",-0.598873480525764,4.45634799643135e-05,0.0124040191636468,"mRNA","p < 0.05","ptg000025l:12020242-12027798","Q9NYQ7","Cadherin EGF LAG seven-pass G-type receptor 3 (Cadherin family member 11) (Epidermal growth factor-like protein 1) (EGF-like protein 1) (Flamingo homolog 1) (hFmi1) (Multiple epidermal growth factor-like domains protein 2) (Multiple EGF-like domains protein 2)","Homo sapiens (Human)","cell-cell adhesion [GO:0098609]; G protein-coupled receptor signaling pathway [GO:0007186]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; Wnt signaling pathway, planar cell polarity pathway [GO:0060071]","GO:0004930; GO:0005509; GO:0005886; GO:0007156; GO:0007186; GO:0016020; GO:0060071; GO:0098609"
"18820","Cluster_17173","FUN_035843","Cluster_17173 _ FUN_035843",1167539,"Cluster_17173","FUN_035843",0.518529662708665,0.000608783037221078,0.0523566375002066,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"18827","Cluster_17173","FUN_035903","Cluster_17173 _ FUN_035903",1169732,"Cluster_17173","FUN_035903",-0.593971129601885,5.33367212466532e-05,0.0137074480490683,"mRNA","p < 0.05","ptg000025l:13123631-13143389","Q99315","Transposon Ty3-G Gag-Pol polyprotein (Gag3-Pol3) (Transposon Ty3-1 TYA-TYB polyprotein) [Cleaved into: Capsid protein (CA) (p24); Spacer peptide p3; Nucleocapsid protein p11 (NC); Ty3 protease (PR) (EC 3.4.23.-) (p16); Spacer peptide J; Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (p55); Integrase p61 (IN); Integrase p58 (IN)]","Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)","DNA integration [GO:0015074]; DNA recombination [GO:0006310]; proteolysis [GO:0006508]; transposition, RNA-mediated [GO:0032197]","GO:0000943; GO:0003677; GO:0003723; GO:0003887; GO:0003964; GO:0004190; GO:0004523; GO:0004540; GO:0005524; GO:0005634; GO:0005737; GO:0006310; GO:0006508; GO:0008233; GO:0008270; GO:0015074; GO:0032197"
"18828","Cluster_17173","FUN_035914","Cluster_17173 _ FUN_035914",1170293,"Cluster_17173","FUN_035914",-0.572426208489215,0.000113621775960382,0.0208147553131222,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"18836","Cluster_17173","FUN_035984","Cluster_17173 _ FUN_035984",1173455,"Cluster_17173","FUN_035984",-0.538537478954042,0.000337370703419919,0.0380563377469258,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"18845","Cluster_17173","FUN_036075","Cluster_17173 _ FUN_036075",1177433,"Cluster_17173","FUN_036075",-0.530592110055,0.000428365084587284,0.0433618362771439,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"18850","Cluster_17173","FUN_036106","Cluster_17173 _ FUN_036106",1178504,"Cluster_17173","FUN_036106",-0.524341427573873,0.00051478293292387,0.0478289095437955,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"18852","Cluster_17173","FUN_036117","Cluster_17173 _ FUN_036117",1179779,"Cluster_17173","FUN_036117",-0.572721355869443,0.000112490640461133,0.020696470874599,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"18853","Cluster_17173","FUN_036145","Cluster_17173 _ FUN_036145",1180901,"Cluster_17173","FUN_036145",0.520913099226658,0.000568523629376491,0.0504315486779136,"mRNA","p < 0.05","ptg000025l:15689909-15693350","P32882","Tubulin beta-2 chain (Beta-tubulin class-II)","Gallus gallus (Chicken)","microtubule cytoskeleton organization [GO:0000226]; mitotic cell cycle [GO:0000278]; negative regulation of microtubule polymerization [GO:0031115]","GO:0000226; GO:0000278; GO:0003924; GO:0005200; GO:0005509; GO:0005525; GO:0005737; GO:0005874; GO:0031115"
"18856","Cluster_17173","FUN_036163","Cluster_17173 _ FUN_036163",1181309,"Cluster_17173","FUN_036163",0.550327228775644,0.000234098459852926,0.0310374307163718,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"18868","Cluster_17173","FUN_036232","Cluster_17173 _ FUN_036232",1183247,"Cluster_17173","FUN_036232",-0.539956233936697,0.000323085553770661,0.0372190774910971,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"18871","Cluster_17173","FUN_036255","Cluster_17173 _ FUN_036255",1184930,"Cluster_17173","FUN_036255",-0.501107283239953,0.00098903237987648,0.0679937721137802,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"18872","Cluster_17173","FUN_036335","Cluster_17173 _ FUN_036335",1186103,"Cluster_17173","FUN_036335",-0.63239656616515,1.19964928801128e-05,0.00576389659843779,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"18885","Cluster_17173","FUN_034991","Cluster_17173 _ FUN_034991",1128932,"Cluster_17173","FUN_034991",-0.596536207391717,4.85677922353324e-05,0.0130203591469056,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"18891","Cluster_17173","FUN_035049","Cluster_17173 _ FUN_035049",1131278,"Cluster_17173","FUN_035049",-0.517268068378531,0.000631106870696822,0.0533909733493694,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"18892","Cluster_17173","FUN_035050","Cluster_17173 _ FUN_035050",1131329,"Cluster_17173","FUN_035050",-0.573956919628154,0.000107865168155928,0.0201965124917298,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"18903","Cluster_17173","FUN_035130","Cluster_17173 _ FUN_035130",1135001,"Cluster_17173","FUN_035130",-0.502676432955665,0.000947729223961743,0.0664854706353935,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"18905","Cluster_17173","FUN_035153","Cluster_17173 _ FUN_035153",1136582,"Cluster_17173","FUN_035153",-0.591373710799108,5.85956813459136e-05,0.0143715374082854,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"18906","Cluster_17173","FUN_035155","Cluster_17173 _ FUN_035155",1136684,"Cluster_17173","FUN_035155",-0.579749086525305,8.83926108570473e-05,0.0181054916305527,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"18919","Cluster_17173","FUN_035328","Cluster_17173 _ FUN_035328",1144385,"Cluster_17173","FUN_035328",-0.550792969413323,0.000230678617711552,0.0308074231143863,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"18923","Cluster_17173","FUN_034840","Cluster_17173 _ FUN_034840",1121741,"Cluster_17173","FUN_034840",-0.517467306129733,0.000627533508000975,0.0532295049673288,"mRNA","p < 0.05","ptg000025l:657891-678800","Q8N0W3","L-fucose kinase (Fucokinase) (EC 2.7.1.52)","Homo sapiens (Human)","carbohydrate phosphorylation [GO:0046835]; GDP-L-fucose salvage [GO:0042352]; response to dopamine [GO:1903350]","GO:0005524; GO:0005829; GO:0042352; GO:0046835; GO:0050201; GO:1903350"
"18929","Cluster_17173","FUN_035388","Cluster_17173 _ FUN_035388",1146476,"Cluster_17173","FUN_035388",-0.547584676810105,0.000255178435776909,0.032571928973933,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"18932","Cluster_17173","FUN_034844","Cluster_17173 _ FUN_034844",1121792,"Cluster_17173","FUN_034844",-0.520946302385632,0.000567979996911276,0.0504269515924475,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"18938","Cluster_17173","FUN_035477","Cluster_17173 _ FUN_035477",1150658,"Cluster_17173","FUN_035477",-0.561912415283456,0.000161281255760952,0.0252085670318785,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"18940","Cluster_17173","FUN_034849","Cluster_17173 _ FUN_034849",1122506,"Cluster_17173","FUN_034849",-0.504015429781409,0.000913703791466247,0.0651375863681382,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"18944","Cluster_17173","FUN_035553","Cluster_17173 _ FUN_035553",1153820,"Cluster_17173","FUN_035553",-0.505353841240798,0.000880782837274961,0.0639339866606407,"mRNA","p < 0.05","ptg000025l:8990077-9007336","Q8TE73","Dynein axonemal heavy chain 5 (Axonemal beta dynein heavy chain 5) (Ciliary dynein heavy chain 5)","Homo sapiens (Human)","cilium assembly [GO:0060271]; cilium movement [GO:0003341]; determination of left/right symmetry [GO:0007368]; epithelial cilium movement involved in extracellular fluid movement [GO:0003351]; establishment of localization in cell [GO:0051649]; flagellated sperm motility [GO:0030317]; heart development [GO:0007507]; lateral ventricle development [GO:0021670]; microtubule-based movement [GO:0007018]; outer dynein arm assembly [GO:0036158]","GO:0003341; GO:0003351; GO:0005524; GO:0005576; GO:0005737; GO:0005874; GO:0005930; GO:0007018; GO:0007368; GO:0007507; GO:0008569; GO:0021670; GO:0030286; GO:0030317; GO:0031514; GO:0036157; GO:0036158; GO:0045505; GO:0051649; GO:0051959; GO:0060271; GO:0097728; GO:0097729"
"18949","Cluster_17173","FUN_035603","Cluster_17173 _ FUN_035603",1155758,"Cluster_17173","FUN_035603",-0.578952958381659,9.08651380887215e-05,0.0183895723801235,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"18950","Cluster_17173","FUN_037415","Cluster_17173 _ FUN_037415",1219151,"Cluster_17173","FUN_037415",-0.526997238556793,0.000476323984807005,0.045802844053498,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"18951","Cluster_17173","FUN_037439","Cluster_17173 _ FUN_037439",1220324,"Cluster_17173","FUN_037439",-0.517303139265303,0.000630476554686153,0.053362752617415,"mRNA","p < 0.05","ptg000026l:10422558-10454748","P97393","Rho GTPase-activating protein 5 (Rho-type GTPase-activating protein 5) (p190-B)","Mus musculus (Mouse)","cell migration [GO:0016477]; epithelial cell migration [GO:0010631]; mammary gland development [GO:0030879]; positive regulation of epithelial cell migration [GO:0010634]; positive regulation of mesenchymal cell proliferation [GO:0002053]; regulation of cell size [GO:0008361]; Rho protein signal transduction [GO:0007266]","GO:0002053; GO:0003924; GO:0005096; GO:0005525; GO:0005783; GO:0005829; GO:0005886; GO:0007266; GO:0008361; GO:0010631; GO:0010634; GO:0016477; GO:0030879; GO:0042169"
"18954","Cluster_17173","FUN_037464","Cluster_17173 _ FUN_037464",1220528,"Cluster_17173","FUN_037464",-0.541871712671106,0.000304660834659716,0.0360240077866505,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"18957","Cluster_17173","FUN_037494","Cluster_17173 _ FUN_037494",1223027,"Cluster_17173","FUN_037494",-0.532483332963803,0.000404912010377962,0.0419960488057103,"mRNA","p < 0.05","ptg000026l:11082826-11102980","Q60431","Caspase-3 (CASP-3) (EC 3.4.22.56) (Apopain) (Cysteine protease CPP32) (CPP-32) (Protein Yama) (SREBP cleavage activity 1) (SCA-1) [Cleaved into: Caspase-3 subunit p17; Caspase-3 subunit p12]","Mesocricetus auratus (Golden hamster)","intracellular signal transduction [GO:0035556]; positive regulation of amyloid-beta formation [GO:1902004]; proteolysis [GO:0006508]; regulation of protein stability [GO:0031647]","GO:0004175; GO:0005737; GO:0006508; GO:0031647; GO:0035556; GO:0097153; GO:0097199; GO:0097200; GO:1902004"
"18960","Cluster_17173","FUN_037499","Cluster_17173 _ FUN_037499",1223537,"Cluster_17173","FUN_037499",-0.508252560874587,0.000813074447652729,0.0611356938962729,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"18966","Cluster_17173","FUN_037549","Cluster_17173 _ FUN_037549",1225322,"Cluster_17173","FUN_037549",-0.51581214274398,0.000657775085891869,0.0545613822178201,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"18970","Cluster_17173","FUN_037586","Cluster_17173 _ FUN_037586",1225934,"Cluster_17173","FUN_037586",-0.558771436914291,0.000178667400764695,0.0267008427156036,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"18983","Cluster_17173","FUN_037763","Cluster_17173 _ FUN_037763",1230575,"Cluster_17173","FUN_037763",-0.603465943316719,3.75574503960793e-05,0.0112322462794769,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"18985","Cluster_17173","FUN_037769","Cluster_17173 _ FUN_037769",1231850,"Cluster_17173","FUN_037769",-0.508547102121962,0.000806460893609574,0.0609189556426131,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"18988","Cluster_17173","FUN_037776","Cluster_17173 _ FUN_037776",1232156,"Cluster_17173","FUN_037776",-0.565612648356885,0.000142767868191632,0.0235283225054555,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"18993","Cluster_17173","FUN_037795","Cluster_17173 _ FUN_037795",1233125,"Cluster_17173","FUN_037795",-0.534797972052984,0.00037777782357049,0.0404611867898369,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"19001","Cluster_17173","FUN_037867","Cluster_17173 _ FUN_037867",1236440,"Cluster_17173","FUN_037867",-0.593865697524394,5.35415433759661e-05,0.0137233111968838,"mRNA","p < 0.05","ptg000026l:14530033-14539212","P59281","Rho GTPase-activating protein 39","Mus musculus (Mouse)","postsynapse organization [GO:0099173]; signal transduction [GO:0007165]","GO:0005096; GO:0005634; GO:0005737; GO:0005856; GO:0007165; GO:0098794; GO:0098978; GO:0099173"
"19004","Cluster_17173","FUN_037881","Cluster_17173 _ FUN_037881",1237052,"Cluster_17173","FUN_037881",0.518181641816884,0.000614869726870683,0.0526206255781324,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"19005","Cluster_17173","FUN_037884","Cluster_17173 _ FUN_037884",1237205,"Cluster_17173","FUN_037884",0.515595423520204,0.000661829520470251,0.0547585971450468,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"19031","Cluster_17173","FUN_036979","Cluster_17173 _ FUN_036979",1200893,"Cluster_17173","FUN_036979",-0.525229452998331,0.000501625190419791,0.047142804432921,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"19039","Cluster_17173","FUN_037063","Cluster_17173 _ FUN_037063",1204973,"Cluster_17173","FUN_037063",-0.501538891801203,0.000977515140833282,0.0676350467349544,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"19052","Cluster_17173","FUN_037196","Cluster_17173 _ FUN_037196",1210379,"Cluster_17173","FUN_037196",-0.578601881498663,9.19752456872128e-05,0.0184937842564208,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"19090","Cluster_17173","FUN_038028","Cluster_17173 _ FUN_038028",1244141,"Cluster_17173","FUN_038028",-0.574377629392106,0.000106329919479797,0.0200224974887591,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"19096","Cluster_17173","FUN_038081","Cluster_17173 _ FUN_038081",1246997,"Cluster_17173","FUN_038081",-0.633117713958087,1.16426905624236e-05,0.00565333415601491,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
"19098","Cluster_17173","FUN_038100","Cluster_17173 _ FUN_038100",1246742,"Cluster_17173","FUN_038100",-0.588299439859242,6.54261169430512e-05,0.015263050878172,"mRNA","p < 0.05","ptg000027l:2336794-2353095","Q25378","Protein kinase C (EC 2.7.11.13)","Lytechinus pictus (Painted sea urchin)","protein phosphorylation [GO:0006468]","GO:0004698; GO:0005524; GO:0006468; GO:0008270; GO:0106310"
"19106","Cluster_17173","FUN_038139","Cluster_17173 _ FUN_038139",1249547,"Cluster_17173","FUN_038139",-0.523915118680985,0.000521208432786701,0.0481453620143034,"mRNA","p < 0.05",NA,NA,NA,NA,NA,NA
